Predicted	Actual
[start] Wenzhou t ei ⁴⁴ [end]	[start] Wenzhou t ei ⁴⁴ [end]
[start] Wenzhou dz ɿ ³⁴ [end]	[start] Wenzhou dz ɿ ²² [end]
[start] Wenzhou ɲ j ai ³⁴ [end]	[start] Wenzhou ɲ i ³⁴ [end]
[start] Wenzhou l ɛ ³¹ [end]	[start] Wenzhou l ɛ ³¹ [end]
[start] Wenzhou s e ŋ ⁴² [end]	[start] Wenzhou s a ŋ ⁴² [end]
[start] Wenzhou t ɜ ⁴⁵ [end]	[start] Wenzhou t ɜ ⁴⁵ [end]
[start] Wenzhou tɕ i ⁴² [end]	[start] Wenzhou ts ei ⁴² [end]
[start] Wenzhou k o ⁴⁵ [end]	[start] Wenzhou k o ⁴⁵ [end]
[start] Wenzhou ts əu ⁴² [end]	[start] Wenzhou ts u ⁴² [end]
[start] Wenzhou tʰ au ⁴⁴ [end]	[start] Wenzhou tʰ au ⁴⁴ [end]
[start] Wenzhou s o ⁴⁵ [end]	[start] Wenzhou s a ⁴⁴ [end]
[start] Wenzhou ɕ ɥ o ŋ ⁴⁴ [end]	[start] Wenzhou ɕ ɥ o ŋ ⁴⁴ [end]
[start] Wenzhou k w ɔ ⁴⁴ [end]	[start] Wenzhou k w ɔ ⁴⁴ [end]
[start] Wenzhou ɦ j ɛ ³¹ [end]	[start] Wenzhou ŋ ³¹ [end]
[start] Wenzhou tʰ ɵy ⁴² [end]	[start] Wenzhou tʰ ɵy ⁴² [end]
[start] Wenzhou ɦ j a ²¹² [end]	[start] Wenzhou z ai ²¹² [end]
[start] Wenzhou n ai ²² [end]	[start] Wenzhou n ai ²² [end]
[start] Wenzhou z ø ³¹ [end]	[start] Wenzhou ɦ y ³¹ [end]
[start] Wenzhou l i ³⁴ [end]	[start] Wenzhou l i ³⁴ [end]
[start] Wenzhou p a ³²³ [end]	[start] Wenzhou p o ³²³ [end]
[start] Wenzhou l u ²¹² [end]	[start] Wenzhou l j u ²¹² [end]
[start] Wenzhou p e ⁴⁴ [end]	[start] Wenzhou p e ŋ ⁴⁴ [end]
[start] Wenzhou dʑ ei ³¹ [end]	[start] Wenzhou dz ɿ ³¹ [end]
[start] Wenzhou k y ⁴⁴ [end]	[start] Wenzhou k y ⁴⁴ [end]
[start] Wenzhou t o ŋ ⁴⁴ [end]	[start] Wenzhou t o ŋ ⁴⁴ [end]
[start] Wenzhou l e ŋ ³⁴ [end]	[start] Wenzhou l j ɛ ³⁴ [end]
[start] Wenzhou t a ŋ ⁴² [end]	[start] Wenzhou t a ŋ ⁴² [end]
[start] Wenzhou ɕ ɥ ɔ ⁴⁴ [end]	[start] Wenzhou ɕ ɥ ɔ ⁴⁴ [end]
[start] Xiamen j a t ³² [end]	[start] Xiamen i t ³² [end]
[start] Xiamen tsʰ i t ³² [end]	[start] Xiamen tsʰ i t ³² [end]
[start] Xiamen t ɔ ŋ ³³ [end]	[start] Xiamen t j ɔ ŋ ³³ [end]
[start] Xiamen s a m ⁵⁵ [end]	[start] Xiamen s a m ⁵⁵ [end]
[start] Xiamen s j ɔ ŋ ³³ [end]	[start] Xiamen s j ɔ ŋ ³³ [end]
[start] Xiamen h a ³³ [end]	[start] Xiamen h a ³³ [end]
[start] Xiamen p u t ³² [end]	[start] Xiamen p u t ³² [end]
[start] Xiamen t j ɔ ŋ ⁵⁵ [end]	[start] Xiamen t j ɔ ŋ ⁵⁵ [end]
[start] Xiamen k j u ⁵¹ [end]	[start] Xiamen k j u ⁵¹ [end]
[start] Xiamen j a ⁵¹ [end]	[start] Xiamen a ⁵¹ [end]
[start] Xiamen dz u ⁵¹ [end]	[start] Xiamen dz u ⁵¹ [end]
[start] Xiamen dz j a ³³ [end]	[start] Xiamen dz i ³³ [end]
[start] Xiamen h u n ²⁴ [end]	[start] Xiamen u n ²⁴ [end]
[start] Xiamen ŋ ɔ ⁵¹ [end]	[start] Xiamen g ɔ ³³ [end]
[start] Xiamen ts ɪ ŋ ⁵¹ [end]	[start] Xiamen ts ɪ ŋ ⁵¹ [end]
[start] Xiamen b ɔ ŋ ²⁴ [end]	[start] Xiamen b ɔ ŋ ²⁴ [end]
[start] Xiamen l j ɔ ŋ ³³ [end]	[start] Xiamen l j ɔ ŋ ³³ [end]
[start] Xiamen dz i n ²⁴ [end]	[start] Xiamen dz i n ²⁴ [end]
[start] Xiamen k i m ⁵⁵ [end]	[start] Xiamen k i m ⁵⁵ [end]
[start] Xiamen tʰ a ⁵⁵ [end]	[start] Xiamen t o ²⁴ [end]
[start] Xiamen t ɔ ŋ ³³ [end]	[start] Xiamen t j ɔ ŋ ³³ [end]
[start] Xiamen l ɪ ŋ ³³ [end]	[start] Xiamen l ɪ ŋ ³³ [end]
[start] Xiamen k j a n ³³ [end]	[start] Xiamen k iaː ³³ [end]
[start] Xiamen w i ³³ [end]	[start] Xiamen w i ³³ [end]
[start] Xiamen t e ⁵⁵ [end]	[start] Xiamen t e ⁵⁵ [end]
[start] Xiamen t u ³³ [end]	[start] Xiamen ts u ³³ [end]
[start] Xiamen l i ⁵¹ [end]	[start] Xiamen n iː ⁵¹ [end]
[start] Xiamen l ai ²⁴ [end]	[start] Xiamen l ai ²⁴ [end]
[start] Xiamen s i n ¹¹ [end]	[start] Xiamen s i n ¹¹ [end]
[start] Xiamen t au ⁵¹ [end]	[start] Xiamen t o ⁵¹ [end]
[start] Xiamen ts j a ¹¹ [end]	[start] Xiamen ts j a ¹¹ [end]
[start] Xiamen k a ⁵¹ [end]	[start] Xiamen k a ⁵¹ [end]
[start] Xiamen ts o ¹¹ [end]	[start] Xiamen ts w ə ¹¹ [end]
[start] Xiamen tʰ ɔ ⁵⁵ [end]	[start] Xiamen tʰ ɔ ⁵⁵ [end]
[start] Xiamen s w a ⁵¹ [end]	[start] Xiamen s a ⁵¹ [end]
[start] Xiamen h j ɔ ŋ ⁵⁵ [end]	[start] Xiamen h ɪ ŋ ⁵⁵ [end]
[start] Xiamen k ɔ ŋ ⁵⁵ [end]	[start] Xiamen k w a ŋ ⁵⁵ [end]
[start] Xiamen dz i ²⁴ [end]	[start] Xiamen dz i ²⁴ [end]
[start] Xiamen tʰ ɔ ¹¹ [end]	[start] Xiamen tʰ ɔ ¹¹ [end]
[start] Xiamen dz j a p ⁵ [end]	[start] Xiamen dz i p ⁵ [end]
[start] Xiamen l w i ³³ [end]	[start] Xiamen l w e ³³ [end]
[start] Xiamen tsʰ j a n ²⁴ [end]	[start] Xiamen ts w a n ²⁴ [end]
[start] Xiamen l j ɔ ŋ ⁵¹ [end]	[start] Xiamen l j ɔ ŋ ⁵¹ [end]
[start] Xiamen p a t ³² [end]	[start] Xiamen p a t ³² [end]
[start] Xiamen l ɔ k ⁵ [end]	[start] Xiamen l j ɔ k ⁵ [end]
[start] Xiamen p ɪ ŋ ⁵⁵ [end]	[start] Xiamen p ɪ ŋ ⁵⁵ [end]
[start] Xiamen kʰ i ²⁴ [end]	[start] Xiamen k i ²⁴ [end]
[start] Xiamen k w a n ⁵⁵ [end]	[start] Xiamen k w a n ⁵⁵ [end]
[start] Xiamen t ɔ ŋ ⁵⁵ [end]	[start] Xiamen t ɔ ŋ ⁵⁵ [end]
[start] Xiamen l ɪ ŋ ⁵¹ [end]	[start] Xiamen l ɪ ŋ [end]
[start] Xiamen t ɪ ŋ ¹¹ [end]	[start] Xiamen t ɪ ŋ ¹¹ [end]
[start] Xiamen h j ɔ ŋ ⁵⁵ [end]	[start] Xiamen h j ɔ ŋ ⁵⁵ [end]
[start] XiAn i ²¹ [end]	[start] XiAn i ²¹ [end]
[start] XiAn tɕʰ i ²¹ [end]	[start] XiAn tɕʰ i ²¹ [end]
[start] XiAn ts a ŋ ⁵⁵ [end]	[start] XiAn ʈʂ a ŋ ⁵⁵ [end]
[start] XiAn s aː ²¹ [end]	[start] XiAn s aː ²¹ [end]
[start] XiAn ʂ a ŋ ⁵⁵ [end]	[start] XiAn ʂ a ŋ ⁵⁵ [end]
[start] XiAn ɕ j a ⁵⁵ [end]	[start] XiAn ɕ j a ⁵⁵ [end]
[start] XiAn p u ²¹ [end]	[start] XiAn p u ²¹ [end]
[start] XiAn pf o ŋ ²¹ [end]	[start] XiAn pf o ŋ ²¹ [end]
[start] XiAn tɕ j ou ⁵³ [end]	[start] XiAn tɕ j ou ⁵³ [end]
[start] XiAn j e ⁵³ [end]	[start] XiAn j e ⁵³ [end]
[start] XiAn y ⁵³ [end]	[start] XiAn v u ⁵³ [end]
[start] XiAn ə ⁵⁵ [end]	[start] XiAn ə ⁵⁵ [end]
[start] XiAn yeː ²⁴ [end]	[start] XiAn yeː ²⁴ [end]
[start] XiAn u ⁵³ [end]	[start] XiAn u ⁵³ [end]
[start] XiAn tɕ i ŋ ⁵³ [end]	[start] XiAn tɕ i ŋ ⁵³ [end]
[start] XiAn v a ŋ ²⁴ [end]	[start] XiAn v a ŋ ²⁴ [end]
[start] XiAn l j a ŋ ⁵⁵ [end]	[start] XiAn l j a ŋ ⁵⁵ [end]
[start] XiAn ʐ eː ²⁴ [end]	[start] XiAn ʐ eː ²⁴ [end]
[start] XiAn tɕ i ŋ ²¹ [end]	[start] XiAn tɕ ieː ²¹ [end]
[start] XiAn tʰ a ²¹ [end]	[start] XiAn tʰ a ²¹ [end]
[start] XiAn ts a ŋ ⁵⁵ [end]	[start] XiAn ʈʂ a ŋ ⁵⁵ [end]
[start] XiAn l i ŋ ⁵⁵ [end]	[start] XiAn l i ŋ ⁵⁵ [end]
[start] XiAn tɕ iaː ⁵⁵ [end]	[start] XiAn tɕ iaː ⁵⁵ [end]
[start] XiAn w ei ⁵⁵ [end]	[start] XiAn w ei ⁵⁵ [end]
[start] XiAn t i ²¹ [end]	[start] XiAn t i ²¹ [end]
[start] XiAn pf u ⁵⁵ [end]	[start] XiAn pf u ⁵⁵ [end]
[start] XiAn ɲ i ⁵³ [end]	[start] XiAn ɲ i ⁵³ [end]
[start] XiAn l ɛ ²⁴ [end]	[start] XiAn l ɛ ²⁴ [end]
[start] XiAn ɕ i ŋ ⁵⁵ [end]	[start] XiAn ɕ ieː ⁵⁵ [end]
[start] XiAn t au ⁵³ [end]	[start] XiAn t au ⁵³ [end]
[start] XiAn tɕ j e ⁵⁵ [end]	[start] XiAn tɕ j e ⁵⁵ [end]
[start] XiAn tɕ j a ⁵³ [end]	[start] XiAn tɕ j a ⁵³ [end]
[start] XiAn ts w o ⁵⁵ [end]	[start] XiAn ts w o ⁵⁵ [end]
[start] XiAn tʰ ou ²¹ [end]	[start] XiAn tʰ ou ²¹ [end]
[start] XiAn s a ⁵³ [end]	[start] XiAn ʂ a ⁵³ [end]
[start] XiAn ɕ y ŋ ²¹ [end]	[start] XiAn ɕ y ŋ ²¹ [end]
[start] XiAn k w a ŋ ²¹ [end]	[start] XiAn k w a ŋ ²¹ [end]
[start] XiAn ə ²⁴ [end]	[start] XiAn ə ²⁴ [end]
[start] XiAn tʰ ou ⁵⁵ [end]	[start] XiAn tʰ ou ⁵⁵ [end]
[start] XiAn y ²¹ [end]	[start] XiAn v u ²¹ [end]
[start] XiAn n w ei ⁵⁵ [end]	[start] XiAn n w ei ⁵⁵ [end]
[start] XiAn tɕʰ yaː ²⁴ [end]	[start] XiAn tɕʰ yaː ²⁴ [end]
[start] XiAn l j a ŋ ⁵³ [end]	[start] XiAn l j a ŋ ⁵³ [end]
[start] XiAn p a ²¹ [end]	[start] XiAn p a ²¹ [end]
[start] XiAn l ou ⁵⁵ [end]	[start] XiAn l j ou ²¹ [end]
[start] XiAn p i ŋ ²¹ [end]	[start] XiAn p i ŋ ²¹ [end]
[start] XiAn tɕʰ i ²⁴ [end]	[start] XiAn tɕʰ i ²⁴ [end]
[start] XiAn k uaː ²¹ [end]	[start] XiAn k uaː ²¹ [end]
[start] XiAn t o ŋ ²¹ [end]	[start] XiAn t o ŋ ²¹ [end]
[start] XiAn l ə ŋ ⁵³ [end]	[start] XiAn l ə ŋ ⁵³ [end]
[start] XiAn t ə ŋ ⁵⁵ [end]	[start] XiAn t ə ŋ ⁵⁵ [end]
[start] XiAn ɕ y ŋ ²¹ [end]	[start] XiAn ɕ y ŋ ²¹ [end]
[start] Yangzhou j ə ʔ ⁴ [end]	[start] Yangzhou j ə ʔ ⁴ [end]
[start] Yangzhou tɕʰ j ə ʔ ⁴ [end]	[start] Yangzhou tɕʰ j ə ʔ ⁴ [end]
[start] Yangzhou ts ɑ ŋ ⁵⁵ [end]	[start] Yangzhou ts ɑ ŋ ⁵⁵ [end]
[start] Yangzhou s ɛː ²¹ [end]	[start] Yangzhou s ɛː ²¹ [end]
[start] Yangzhou s w ɑ ŋ ⁵⁵ [end]	[start] Yangzhou s ɑ ŋ ⁵⁵ [end]
[start] Yangzhou ɕ j ɑ ⁵⁵ [end]	[start] Yangzhou x ɑ ⁵⁵ [end]
[start] Yangzhou p w ə ʔ ⁴ [end]	[start] Yangzhou p ə ʔ ⁴ [end]
[start] Yangzhou ts ɔu ŋ ²¹ [end]	[start] Yangzhou ts ɔu ŋ ²¹ [end]
[start] Yangzhou tɕ j ɤɯ ⁴² [end]	[start] Yangzhou tɕ j ɤɯ ⁴² [end]
[start] Yangzhou j ɛ ⁴² [end]	[start] Yangzhou ɪ ⁴² [end]
[start] Yangzhou l u ⁴² [end]	[start] Yangzhou l u ⁴² [end]
[start] Yangzhou ɑ ⁵⁵ [end]	[start] Yangzhou ɑ ⁵⁵ [end]
[start] Yangzhou yiː ³⁴ [end]	[start] Yangzhou yiː ³⁴ [end]
[start] Yangzhou u ⁴² [end]	[start] Yangzhou u ⁴² [end]
[start] Yangzhou tɕ iː ⁴² [end]	[start] Yangzhou tɕ iː ⁴² [end]
[start] Yangzhou w ɑ ŋ ³⁴ [end]	[start] Yangzhou w ɑ ŋ ³⁴ [end]
[start] Yangzhou l j ɑ ŋ ⁵⁵ [end]	[start] Yangzhou l j ɑ ŋ ⁵⁵ [end]
[start] Yangzhou l ə n ³⁴ [end]	[start] Yangzhou l ə n ³⁴ [end]
[start] Yangzhou tɕ iː ²¹ [end]	[start] Yangzhou tɕ iː ²¹ [end]
[start] Yangzhou tʰ ɑ ²¹ [end]	[start] Yangzhou tʰ ɑ ²¹ [end]
[start] Yangzhou ts ɑ ŋ ⁵⁵ [end]	[start] Yangzhou ts ɑ ŋ ⁵⁵ [end]
[start] Yangzhou l iː ⁵⁵ [end]	[start] Yangzhou l iː ⁵⁵ [end]
[start] Yangzhou tɕ ɪː ⁵⁵ [end]	[start] Yangzhou tɕ ɪː ⁵⁵ [end]
[start] Yangzhou w əi ⁵⁵ [end]	[start] Yangzhou w əi ⁵⁵ [end]
[start] Yangzhou t i ²¹ [end]	[start] Yangzhou t i ²¹ [end]
[start] Yangzhou ts u ⁵⁵ [end]	[start] Yangzhou ts u ⁵⁵ [end]
[start] Yangzhou n i ⁴² [end]	[start] Yangzhou n i ⁴² [end]
[start] Yangzhou l ɛ ³⁴ [end]	[start] Yangzhou l ɛ ³⁴ [end]
[start] Yangzhou ɕ iː ⁵⁵ [end]	[start] Yangzhou ɕ iː ⁵⁵ [end]
[start] Yangzhou t ɔ ⁴² [end]	[start] Yangzhou t ɔ ⁴² [end]
[start] Yangzhou tɕ j ɑ ʔ ⁴ [end]	[start] Yangzhou ts ɪ ⁵⁵ [end]
[start] Yangzhou k ɑ ⁴² [end]	[start] Yangzhou tɕ j ɑ ⁴² [end]
[start] Yangzhou ts o ⁵⁵ [end]	[start] Yangzhou ts o ⁵⁵ [end]
[start] Yangzhou tʰ ɤɯ ²¹ [end]	[start] Yangzhou tʰ ɤɯ ²¹ [end]
[start] Yangzhou s ɑ ⁴² [end]	[start] Yangzhou s ɑ ⁴² [end]
[start] Yangzhou ɕ j ɔu ŋ ²¹ [end]	[start] Yangzhou ɕ j ɔu ŋ ²¹ [end]
[start] Yangzhou k w ɑ ŋ ²¹ [end]	[start] Yangzhou k w ɑ ŋ ²¹ [end]
[start] Yangzhou ɑ ³⁴ [end]	[start] Yangzhou ɑ ³⁴ [end]
[start] Yangzhou tʰ u ⁵⁵ [end]	[start] Yangzhou tʰ u ⁵⁵ [end]
[start] Yangzhou j ɔ ʔ ⁴ [end]	[start] Yangzhou l ə ʔ ⁴ [end]
[start] Yangzhou n w əi ⁵⁵ [end]	[start] Yangzhou n w əi ⁵⁵ [end]
[start] Yangzhou tɕʰ yɪː ³⁴ [end]	[start] Yangzhou tɕʰ yɪː ³⁴ [end]
[start] Yangzhou l j ɑ ŋ ⁴² [end]	[start] Yangzhou l j ɑ ŋ ⁴² [end]
[start] Yangzhou p a ʔ ⁴ [end]	[start] Yangzhou p a ʔ ⁴ [end]
[start] Yangzhou l ɤɯ ⁵⁵ [end]	[start] Yangzhou l ɔ ʔ ⁴ [end]
[start] Yangzhou p iː ²¹ [end]	[start] Yangzhou p iː ²¹ [end]
[start] Yangzhou tɕʰ i ³⁴ [end]	[start] Yangzhou tɕʰ i ³⁴ [end]
[start] Yangzhou k uoː ²¹ [end]	[start] Yangzhou k uoː ²¹ [end]
[start] Yangzhou t ɔu ŋ ²¹ [end]	[start] Yangzhou t ɔu ŋ ²¹ [end]
[start] Yangzhou l ə n ⁴² [end]	[start] Yangzhou l ə n ⁴² [end]
[start] Yangzhou t ə n ⁵⁵ [end]	[start] Yangzhou t ə n ⁵⁵ [end]
[start] Yangzhou ɕ j ɔu ŋ ²¹ [end]	[start] Yangzhou ɕ j ɔu ŋ ²¹ [end]
[start] ZhongyuanYinyun j e ²¹⁴ [end]	[start] ZhongyuanYinyun i ²¹⁴ [end]
[start] ZhongyuanYinyun tsʰ i ²¹⁴ [end]	[start] ZhongyuanYinyun tsʰ i ²¹⁴ [end]
[start] ZhongyuanYinyun tʃ j a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun tʃ j a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun s a m ⁵⁵ [end]	[start] ZhongyuanYinyun s a m ⁵¹ [end]
[start] ZhongyuanYinyun ʃ j a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun ʃ j a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun x a ⁵¹ [end]	[start] ZhongyuanYinyun x a ⁵¹ [end]
[start] ZhongyuanYinyun p u ²¹⁴ [end]	[start] ZhongyuanYinyun p u ²¹⁴ [end]
[start] ZhongyuanYinyun tʃ j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun tʃ j u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun k j ou ³⁵ [end]	[start] ZhongyuanYinyun k j ou ³⁵ [end]
[start] ZhongyuanYinyun j e ³⁵ [end]	[start] ZhongyuanYinyun j e ³⁵ [end]
[start] ZhongyuanYinyun j u ³⁵ [end]	[start] ZhongyuanYinyun ʒ j u ³⁵ [end]
[start] ZhongyuanYinyun ʒ i ⁵¹ [end]	[start] ZhongyuanYinyun ʒ ɿ ⁵¹ [end]
[start] ZhongyuanYinyun j ə n ⁵⁵ [end]	[start] ZhongyuanYinyun ɥ ə n ⁵⁵ [end]
[start] ZhongyuanYinyun u ³⁵ [end]	[start] ZhongyuanYinyun u ³⁵ [end]
[start] ZhongyuanYinyun ts j ə ŋ ³⁵ [end]	[start] ZhongyuanYinyun ts j ə ŋ ³⁵ [end]
[start] ZhongyuanYinyun v a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun v a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun l j a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun l j a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun ʒ j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun ʒ j ə n ⁵⁵ [end]
[start] ZhongyuanYinyun k j ə m ⁵⁵ [end]	[start] ZhongyuanYinyun k j ə m ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ a ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ w o ⁵⁵ [end]
[start] ZhongyuanYinyun tʃ j a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun tʃ j a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun l j ə ŋ ⁵¹ [end]	[start] ZhongyuanYinyun l j ə ŋ ⁵¹ [end]
[start] ZhongyuanYinyun k j e n ⁵¹ [end]	[start] ZhongyuanYinyun k j e n ⁵¹ [end]
[start] ZhongyuanYinyun w ei ⁵¹ [end]	[start] ZhongyuanYinyun w ei ⁵¹ [end]
[start] ZhongyuanYinyun t i ⁵⁵ [end]	[start] ZhongyuanYinyun t i ⁵⁵ [end]
[start] ZhongyuanYinyun tʃ j u ⁵¹ [end]	[start] ZhongyuanYinyun tʃ j u ⁵¹ [end]
[start] ZhongyuanYinyun n i ³⁵ [end]	[start] ZhongyuanYinyun n i ³⁵ [end]
[start] ZhongyuanYinyun l ai ⁵⁵ [end]	[start] ZhongyuanYinyun l ai ⁵⁵ [end]
[start] ZhongyuanYinyun s j ə n ⁵¹ [end]	[start] ZhongyuanYinyun s j ə n ⁵¹ [end]
[start] ZhongyuanYinyun t au ³⁵ [end]	[start] ZhongyuanYinyun t au ³⁵ [end]
[start] ZhongyuanYinyun ts j e ²¹⁴ [end]	[start] ZhongyuanYinyun ts j e ⁵¹ [end]
[start] ZhongyuanYinyun k a ³⁵ [end]	[start] ZhongyuanYinyun k a ³⁵ [end]
[start] ZhongyuanYinyun ts w o ⁵¹ [end]	[start] ZhongyuanYinyun ts u ⁵¹ [end]
[start] ZhongyuanYinyun tʰ ou ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ ou ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ a ³⁵ [end]	[start] ZhongyuanYinyun ʃ w a ³⁵ [end]
[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun k w a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun k w a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun ʒ i ⁵⁵ [end]	[start] ZhongyuanYinyun ʒ ɿ ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ u ⁵¹ [end]	[start] ZhongyuanYinyun tʰ u ⁵¹ [end]
[start] ZhongyuanYinyun ʒ j u ²¹⁴ [end]	[start] ZhongyuanYinyun ʒ j u ²¹⁴ [end]
[start] ZhongyuanYinyun n w ei ⁵¹ [end]	[start] ZhongyuanYinyun n w ei ⁵¹ [end]
[start] ZhongyuanYinyun tsʰ ɥ e n ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ ɥ e n ⁵⁵ [end]
[start] ZhongyuanYinyun l j a ŋ ³⁵ [end]	[start] ZhongyuanYinyun l j a ŋ ³⁵ [end]
[start] ZhongyuanYinyun p a ²¹⁴ [end]	[start] ZhongyuanYinyun p a ²¹⁴ [end]
[start] ZhongyuanYinyun l ou ²¹⁴ [end]	[start] ZhongyuanYinyun l j ou ²¹⁴ [end]
[start] ZhongyuanYinyun p j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun p j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ i ⁵⁵ [end]	[start] ZhongyuanYinyun kʰ i ⁵⁵ [end]
[start] ZhongyuanYinyun k o n ⁵⁵ [end]	[start] ZhongyuanYinyun k o n ⁵⁵ [end]
[start] ZhongyuanYinyun t u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun t u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun l ə ŋ ³⁵ [end]	[start] ZhongyuanYinyun l ə ŋ ³⁵ [end]
[start] ZhongyuanYinyun t ə ŋ ⁵¹ [end]	[start] ZhongyuanYinyun t ə ŋ ⁵¹ [end]
[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]
[start] cojubim t e [end]	[start] cojubim i t e [end]
[start] cojubim u m e ʔ [end]	[start] cojubim u m e [end]
[start] cojubim a s a n [end]	[start] cojubim a t [end]
[start] cojubim r a k [end]	[start] cojubim a r i [end]
[start] cojubim t o k [end]	[start] cojubim t o k [end]
[start] cojubim j u k [end]	[start] cojubim u r [end]
[start] cojubim t u p a r a s i [end]	[start] cojubim t i p a n [end]
[start] cojubim r a w a z i [end]	[start] cojubim a t a w [end]
[start] cojubim k a w [end]	[start] cojubim k a w ʔ [end]
[start] cojubim k o m [end]	[start] cojubim k o m [end]
[start] cojubim p i k u n [end]	[start] cojubim p i k u n [end]
[start] cojubim a n i n [end]	[start] cojubim a w i n [end]
[start] cojubim i s e ʔ [end]	[start] cojubim i tʃ e [end]
[start] cojubim w a t a ʔ [end]	[start] cojubim w a z a [end]
[start] cojubim w o m [end]	[start] cojubim u m [end]
[start] cojubim i w i [end]	[start] cojubim i w [end]
[start] cojubim p a n a [end]	[start] cojubim p a n a [end]
[start] jaru t e t e [end]	[start] jaru e t e [end]
[start] jaru u m e [end]	[start] jaru u m e [end]
[start] jaru a r a s i [end]	[start] jaru r a s i [end]
[start] jaru a r i k i n [end]	[start] jaru r e j e n [end]
[start] jaru t u k i s i [end]	[start] jaru t e k i s i [end]
[start] jaru u r u s i [end]	[start] jaru j o l i s i [end]
[start] jaru t i p a r a s i [end]	[start] jaru t i p r a s i [end]
[start] jaru a r a s i [end]	[start] jaru a r a w a s i [end]
[start] jaru k a w [end]	[start] jaru k a w [end]
[start] jaru k o m ʔ [end]	[start] jaru k o [end]
[start] jaru p i k i n [end]	[start] jaru p a k e n [end]
[start] jaru a n i n [end]	[start] jaru a w i [end]
[start] jaru i s e [end]	[start] jaru i s e [end]
[start] jaru p a n a [end]	[start] jaru p a n a [end]
[start] jaru t u p a r i s i [end]	[start] jaru t u p a r e s i [end]
[start] jaru w i s i s i [end]	[start] jaru w i t [end]
[start] kitemoka t e [end]	[start] kitemoka t a t i a [end]
[start] kitemoka u m a [end]	[start] kitemoka h u m e [end]
[start] kitemoka a r a t i [end]	[start] kitemoka t a r i tʃ e [end]
[start] kitemoka a r a k a t a [end]	[start] kitemoka t i r a n t i a [end]
[start] kitemoka t e k i tʃ e [end]	[start] kitemoka k u tʃ i [end]
[start] kitemoka j u r i tʃ e [end]	[start] kitemoka t u r u tʃ e [end]
[start] kitemoka t i p a r a tʃ e [end]	[start] kitemoka tʃ e p a r a j u [end]
[start] kitemoka a r a t i tʃ e [end]	[start] kitemoka t o t o j a tʃ e [end]
[start] kitemoka k a w [end]	[start] kitemoka k a w [end]
[start] kitemoka k o m [end]	[start] kitemoka a k o [end]
[start] kitemoka p e k e n [end]	[start] kitemoka p i k u i [end]
[start] kitemoka a w i n [end]	[start] kitemoka a w e n [end]
[start] kitemoka j a tʃ e [end]	[start] kitemoka i s e [end]
[start] kitemoka w a j a [end]	[start] kitemoka w a j a [end]
[start] kitemoka w i m a r a [end]	[start] kitemoka a h u m [end]
[start] kitemoka i w i [end]	[start] kitemoka a h i h i [end]
[start] kitemoka t u p a r a tʃ e [end]	[start] kitemoka p a r i tʃ e [end]
[start] kitemoka w e g i tʃ e [end]	[start] kitemoka a w e i tʃ e [end]
[start] more t i [end]	[start] more i t e [end]
[start] more u m e [end]	[start] more u m e [end]
[start] more a s a n [end]	[start] more a t [end]
[start] more a r a k [end]	[start] more a r i ʒ̟ a [end]
[start] more t o k [end]	[start] more t o k [end]
[start] more j u k [end]	[start] more u ʒ̟ [end]
[start] more t i p a r a k [end]	[start] more t i p a n [end]
[start] more w a r a m [end]	[start] more a t a w [end]
[start] more k a w [end]	[start] more k a w [end]
[start] more k o m [end]	[start] more k o m [end]
[start] more p i k u n [end]	[start] more p i k u n [end]
[start] more a w i n [end]	[start] more a w i n [end]
[start] more i s e [end]	[start] more i tʃ e [end]
[start] more w a t a ʔ [end]	[start] more w a ʒ̟ a [end]
[start] more w i m [end]	[start] more m o m r a [end]
