Predicted	Actual
[start] Lanping ɕ ĩ ⁵⁵ [end]	[start] Lanping ɕ ĩ ⁵⁵ [end]
[start] Lanping k ã ⁵⁵ [end]	[start] Lanping k ã ⁵⁵ [end]
[start] Lanping s ɿ ³³ [end]	[start] Lanping s ɛ ³³ [end]
[start] Lanping s ɿ ³³ [end]	[start] Lanping s o ³¹ [end]
[start] Lanping j ĩ ²¹ [end]	[start] Lanping j ĩ ²¹ [end]
[start] Lanping k ɛ̃ ⁵⁵ [end]	[start] Lanping k ɛ̃ ⁵⁵ [end]
[start] Lanping j ɔ̃ ⁴⁴ [end]	[start] Lanping j ɯ̃ ³³ [end]
[start] Lanping j ĩ ²¹ [end]	[start] Lanping j ĩ ²¹ [end]
[start] Lanping m ɔ ⁴⁴ [end]	[start] Lanping m ɔ̃ ³³ [end]
[start] Lanping j ĩ ²¹ [end]	[start] Lanping j ĩ ²¹ [end]
[start] Lanping ts ɿ ⁴⁴ [end]	[start] Lanping ts ɿ ³³ [end]
[start] Lanping x ɔ ³¹ [end]	[start] Lanping x ã ⁴⁴ [end]
[start] Lanping t u ⁵⁵ [end]	[start] Lanping t o ⁵⁵ [end]
[start] Lanping x ɔ ³¹ [end]	[start] Lanping x o ³¹ [end]
[start] Lanping ts ɿ ⁴⁴ [end]	[start] Lanping ts ɯ̃ ³³ [end]
[start] Lanping k u ²¹ [end]	[start] Lanping k w ɔ ³¹ [end]
[start] Lanping m e ²¹ [end]	[start] Lanping m ẽ ²¹ [end]
[start] Lanping k ɔ̃ ³¹ [end]	[start] Lanping k ɔ̃ ³¹ [end]
[start] Lanping k ɛ ⁴² [end]	[start] Lanping k ɛ ⁴⁴ [end]
[start] Lanping l ɔ ³¹ [end]	[start] Lanping l o ³¹ [end]
[start] Lanping k ã ⁵⁵ [end]	[start] Lanping k ã ⁵⁵ [end]
[start] Lanping m e ⁴⁴ [end]	[start] Lanping m ẽ ³³ [end]
[start] Lanping pʰ ɛ ⁵⁵ [end]	[start] Lanping pʰ ɛ ⁵⁵ [end]
[start] Lanping j ĩ ⁴⁴ [end]	[start] Lanping j ɯ ⁴⁴ [end]
[start] Lanping p e ⁴⁴ [end]	[start] Lanping p ẽ ⁴² [end]
[start] Lanping ts ɿ ⁵⁵ [end]	[start] Lanping ts ɿ ⁵⁵ [end]
[start] Lanping k ɛ ²¹ [end]	[start] Lanping k ɛ ²¹ [end]
[start] Lanping ts ɔ ²¹ [end]	[start] Lanping ts ao ²¹ [end]
[start] Lanping s u ⁵⁵ [end]	[start] Lanping s ɿ ⁵⁵ [end]
[start] Lanping t ɔ̃ ²¹ [end]	[start] Lanping t ao ⁴² [end]
[start] Lanping j i ⁵⁵ [end]	[start] Lanping j i ⁵⁵ [end]
[start] Lanping ts u ²¹ [end]	[start] Lanping ts u ²¹ [end]
[start] Lanping tɕ ĩ ⁵⁵ [end]	[start] Lanping tɕ i ⁴⁴ [end]
[start] Lanping l ɔ ²¹ [end]	[start] Lanping l ao ²¹ [end]
[start] Lanping s w ɔ ⁴² [end]	[start] Lanping s u ³¹ [end]
[start] Lanping ts ɔ ⁴² [end]	[start] Lanping ts u ³¹ [end]
[start] Lanping ɕ ĩ ⁵⁵ [end]	[start] Lanping ɕ ĩ ⁵⁵ [end]
[start] Lanping t ɯ ⁵⁵ [end]	[start] Lanping t ɯ̃ ⁵⁵ [end]
[start] Lanping ts u ⁴² [end]	[start] Lanping ts u ³¹ [end]
[start] Lanping kʰ w e ⁵⁵ [end]	[start] Lanping kʰ w e ⁵⁵ [end]
[start] Lanping tɕʰ i ³¹ [end]	[start] Lanping tɕʰ i ³¹ [end]
[start] Lanping t a ⁵⁵ [end]	[start] Lanping t a ⁵⁵ [end]
[start] Lanping ts ɿ ⁴⁴ [end]	[start] Lanping ts ɿ ⁴⁴ [end]
[start] Lanping tsʰ ɛ̃ ⁵⁵ [end]	[start] Lanping tɕʰ i ⁴² [end]
[start] Lanping s ɿ ³¹ [end]	[start] Lanping s ɛ ⁴⁴ [end]
[start] Lanping s ɿ ³¹ [end]	[start] Lanping ʐ ɛ̃ ³¹ [end]
[start] Lanping k u ⁴⁴ [end]	[start] Lanping k w ɛ ³³ [end]
[start] Lanping w e ⁴² [end]	[start] Lanping v e ⁴² [end]
[start] Lanping t ɯ ³¹ [end]	[start] Lanping t j ɯ ³¹ [end]
[start] Lanping k ɛ ⁴² [end]	[start] Lanping k ɛ ³¹ [end]
[start] Lanping k ɛ ⁴² [end]	[start] Lanping k ɛ ³¹ [end]
[start] Lanping j u ⁴⁴ [end]	[start] Lanping j o ⁴⁴ [end]
[start] Lanping tɕʰ ɛ̃ ⁵⁵ [end]	[start] Lanping tɕʰ ɛ̃ ⁴⁴ [end]
[start] Lanping ŋ a ⁴⁴ [end]	[start] Lanping ŋ a ⁴⁴ [end]
[start] Lanping pʰ ɯ ⁵⁵ [end]	[start] Lanping pʰ u ⁵⁵ [end]
[start] Lanping p o ⁴⁴ [end]	[start] Lanping p ao ⁴⁴ [end]
[start] Lanping kʰ w a ⁴⁴ [end]	[start] Lanping kʰ w a ⁴⁴ [end]
[start] Lanping ts ɿ ⁴² [end]	[start] Lanping ts ɛ ⁴² [end]
[start] Lanping tɕ ĩ ⁴⁴ [end]	[start] Lanping tɕ i ³³ [end]
[start] Lanping t a ⁴² [end]	[start] Lanping t a ⁴² [end]
[start] Luobenzhuo x ẽ ⁵⁵ [end]	[start] Luobenzhuo x ẽ ⁵⁵ [end]
[start] Luobenzhuo ʈ ɯ ³¹ [end]	[start] Luobenzhuo d ɯ ⁴² [end]
[start] Luobenzhuo ʈ ɯ ³¹ [end]	[start] Luobenzhuo d ɯ ⁴² [end]
[start] Luobenzhuo ʈʂʰ ɯ ³¹ [end]	[start] Luobenzhuo tsʰ ɿ ³³ [end]
[start] Luobenzhuo ʈ ɯ ³¹ [end]	[start] Luobenzhuo d ɯ ⁴² [end]
[start] Luobenzhuo pʰ o ⁵⁵ [end]	[start] Luobenzhuo pʰ ao ⁵⁵ [end]
[start] Luobenzhuo ʈʂʰ ɯ ³¹ [end]	[start] Luobenzhuo tsʰ ɿ ⁵⁵ [end]
[start] Luobenzhuo l a ⁵⁵ [end]	[start] Luobenzhuo l ao ³¹ [end]
[start] Luobenzhuo ts ɿ ³¹ [end]	[start] Luobenzhuo z i ³¹ [end]
[start] Luobenzhuo t ao ³¹ [end]	[start] Luobenzhuo t ɤ ³¹ [end]
[start] Luobenzhuo t a ³¹ [end]	[start] Luobenzhuo t ao ²¹ [end]
[start] Luobenzhuo s y ⁴⁴ [end]	[start] Luobenzhuo ɕ y ⁵⁵ [end]
[start] Luobenzhuo l i ⁵⁵ [end]	[start] Luobenzhuo l i ⁵⁵ [end]
[start] Luobenzhuo s æ̃ ³³ [end]	[start] Luobenzhuo ʂ ɛ̃ ³³ [end]
[start] Luobenzhuo d ɔ̃ ³³ [end]	[start] Luobenzhuo tɕ ɔ̃ ³¹ [end]
[start] Luobenzhuo s ɛ ⁵⁵ [end]	[start] Luobenzhuo ʂ ɛ ⁴⁴ [end]
[start] Luobenzhuo x ɔ ⁵⁵ [end]	[start] Luobenzhuo χ u ⁵⁵ [end]
[start] Luobenzhuo qʰ ɔ ³³ [end]	[start] Luobenzhuo qʰ ao ³³ [end]
[start] Luobenzhuo s ɔ̃ ⁵⁵ [end]	[start] Luobenzhuo ɕ õ ³³ [end]
[start] Luobenzhuo ʈʂʰ ɛ̃ ⁵⁵ [end]	[start] Luobenzhuo tɕʰ i ⁵⁵ [end]
[start] Luobenzhuo k ɯ ³¹ [end]	[start] Luobenzhuo k ɯ ⁴⁴ [end]
[start] Luobenzhuo p ao ³¹ [end]	[start] Luobenzhuo p ao ³¹ [end]
[start] Luobenzhuo p a ⁴⁴ [end]	[start] Luobenzhuo p a ⁵⁵ [end]
[start] Luobenzhuo ts ẽ ⁴⁴ [end]	[start] Luobenzhuo ʈ æ̃ ⁴² [end]
[start] Luobenzhuo s ɯ ³³ [end]	[start] Luobenzhuo ɕ i ³³ [end]
[start] Luobenzhuo s ɯ ³³ [end]	[start] Luobenzhuo ɕ i ³³ [end]
[start] Luobenzhuo s ɯ ³³ [end]	[start] Luobenzhuo ɕ i ³³ [end]
[start] Luobenzhuo q ɛ ⁵⁵ [end]	[start] Luobenzhuo q ao ⁵⁵ [end]
[start] Luobenzhuo p a ⁴⁴ [end]	[start] Luobenzhuo p a ⁴⁴ [end]
[start] Luobenzhuo s y ³³ [end]	[start] Luobenzhuo s y ³³ [end]
[start] Luobenzhuo t ɛ ⁴⁴ [end]	[start] Luobenzhuo t ɛ ⁵⁵ [end]
[start] Luobenzhuo q w a ⁴⁴ [end]	[start] Luobenzhuo q w a ⁵⁵ [end]
[start] Luobenzhuo q ɔ ⁵⁵ [end]	[start] Luobenzhuo q u ⁵⁵ [end]
[start] Luobenzhuo q w a ⁴⁴ [end]	[start] Luobenzhuo q w a ⁵⁵ [end]
[start] Luobenzhuo s w a ⁴⁴ [end]	[start] Luobenzhuo s w a ⁵⁵ [end]
[start] Luobenzhuo ts ɿ ³³ [end]	[start] Luobenzhuo ɖʐ ɯ̃ ³³ [end]
[start] Luobenzhuo ʈ ɔ̃ ³¹ [end]	[start] Luobenzhuo t õ ²¹ [end]
[start] Luobenzhuo s ẽ ⁵⁵ [end]	[start] Luobenzhuo s ẽ ⁵⁵ [end]
[start] Luobenzhuo q ɔ̃ ⁵⁵ [end]	[start] Luobenzhuo q ɔ̃ ⁵⁵ [end]
[start] Luobenzhuo s ɿ ³³ [end]	[start] Luobenzhuo ʂ ʅ ³³ [end]
[start] Luobenzhuo s ɿ ³¹ [end]	[start] Luobenzhuo ʂ æ ³³ [end]
[start] Luobenzhuo ɲ i ³¹ [end]	[start] Luobenzhuo ɲ i ³¹ [end]
[start] Luobenzhuo q ã ⁴⁴ [end]	[start] Luobenzhuo q ao ⁵⁵ [end]
[start] Luobenzhuo ɲ ɔ̃ ³³ [end]	[start] Luobenzhuo n ɛ ⁴⁴ [end]
[start] Luobenzhuo ɲ i ³¹ [end]	[start] Luobenzhuo ɲ i ³¹ [end]
[start] Luobenzhuo m ɔ ³³ [end]	[start] Luobenzhuo m ɔ ³³ [end]
[start] Luobenzhuo ɲ ĩ ³¹ [end]	[start] Luobenzhuo n ɛ ³¹ [end]
[start] Luobenzhuo ts ɿ ³³ [end]	[start] Luobenzhuo tɕ i ³³ [end]
[start] Luobenzhuo x ɔ ³¹ [end]	[start] Luobenzhuo x ã ³³ [end]
[start] Luobenzhuo t u ⁵⁵ [end]	[start] Luobenzhuo t ɤ ⁵⁵ [end]
[start] Luobenzhuo x ɔ ³¹ [end]	[start] Luobenzhuo x ɔ ⁴² [end]
[start] Luobenzhuo ts ɿ ³³ [end]	[start] Luobenzhuo ʐ ʅ ³³ [end]
[start] Luobenzhuo k ɤ ³¹ [end]	[start] Luobenzhuo q ẽ ⁵⁵ [end]
[start] Luobenzhuo m ẽ ³¹ [end]	[start] Luobenzhuo m æ ²¹ [end]
[start] Luobenzhuo k ao ⁴² [end]	[start] Luobenzhuo q ɔ ²¹ [end]
[start] Luobenzhuo q ɛ ⁴⁴ [end]	[start] Luobenzhuo k a ⁴² [end]
[start] Luobenzhuo l ɔ ³¹ [end]	[start] Luobenzhuo l a ³¹ [end]
[start] Luobenzhuo q ɔ̃ ⁵⁵ [end]	[start] Luobenzhuo q ã ⁵⁵ [end]
[start] Luobenzhuo m ẽ ³³ [end]	[start] Luobenzhuo m i ³³ [end]
[start] Luobenzhuo pʰ ao ⁴⁴ [end]	[start] Luobenzhuo pʰ ao ⁵⁵ [end]
[start] Luobenzhuo ɲ i ⁴⁴ [end]	[start] Luobenzhuo ɲ i ⁵⁵ [end]
[start] Luobenzhuo p ẽ ³³ [end]	[start] Luobenzhuo b ɛ̃ ³³ [end]
[start] Luobenzhuo ts ɿ ⁵⁵ [end]	[start] Luobenzhuo ʈʂ ʅ ⁵⁵ [end]
[start] Luobenzhuo q ao ³¹ [end]	[start] Luobenzhuo q a ²¹ [end]
[start] Luobenzhuo ʈ ao ³¹ [end]	[start] Luobenzhuo c a ²¹ [end]
[start] Luobenzhuo s o ⁵⁵ [end]	[start] Luobenzhuo ɕ õ ⁵⁵ [end]
[start] Luobenzhuo t ao ³¹ [end]	[start] Luobenzhuo t ao ³¹ [end]
[start] Luobenzhuo j i ⁵⁵ [end]	[start] Luobenzhuo ʔ i ⁵⁵ [end]
[start] Luobenzhuo ʈ ɤ ³¹ [end]	[start] Luobenzhuo tɕ ʊ ²¹ [end]
[start] Luobenzhuo tɕ ĩ ⁵⁵ [end]	[start] Luobenzhuo tɕʰ i ⁵⁵ [end]
[start] Luobenzhuo l ao ³¹ [end]	[start] Luobenzhuo l ɔ ²¹ [end]
[start] Luobenzhuo s ɤ ⁴⁴ [end]	[start] Luobenzhuo ʂ ɛ̃ ⁵⁵ [end]
[start] Luobenzhuo ts ɔ ⁴⁴ [end]	[start] Luobenzhuo ts ʊ ³³ [end]
[start] Luobenzhuo s ẽ ⁵⁵ [end]	[start] Luobenzhuo s ɛ̃ ⁵⁵ [end]
[start] Luobenzhuo t ɯ ⁵⁵ [end]	[start] Luobenzhuo t ɯ ⁵⁵ [end]
[start] Luobenzhuo ts ao ⁴² [end]	[start] Luobenzhuo t u ⁴² [end]
[start] Luobenzhuo qʰ ẽ ⁵⁵ [end]	[start] Luobenzhuo qʰ ɛ̃ ⁵⁵ [end]
[start] Luobenzhuo tɕ ĩ ³¹ [end]	[start] Luobenzhuo tsʰ ɿ ³³ [end]
[start] Luobenzhuo t a ⁵⁵ [end]	[start] Luobenzhuo t ɛ ⁵⁵ [end]
[start] Luobenzhuo ts ɿ ³³ [end]	[start] Luobenzhuo tɕ ɯ̃ ³¹ [end]
[start] Luobenzhuo ʈʂʰ ã ⁴⁴ [end]	[start] Luobenzhuo [UNK] ã ⁴⁴ [end]
[start] Luobenzhuo s ɿ ³¹ [end]	[start] Luobenzhuo ʂ ʅ ⁴² [end]
[start] Luobenzhuo s æ̃ ³¹ [end]	[start] Luobenzhuo ʂ æ̃ ⁵⁵ [end]
[start] Luobenzhuo k ɤ ³³ [end]	[start] Luobenzhuo tɕ ɯ ³³ [end]
[start] Luobenzhuo w ɛ ⁴² [end]	[start] Luobenzhuo w e ⁴² [end]
[start] Luobenzhuo t ɯ ³¹ [end]	[start] Luobenzhuo t ɯ ²¹ [end]
[start] Luobenzhuo q ao ⁴⁴ [end]	[start] Luobenzhuo q ao ³³ [end]
[start] Luobenzhuo q ao ⁴⁴ [end]	[start] Luobenzhuo q a ⁴² [end]
[start] Luobenzhuo j u ⁴⁴ [end]	[start] Luobenzhuo j ao ⁵⁵ [end]
[start] Luobenzhuo tɕʰ ã ⁴⁴ [end]	[start] Luobenzhuo tɕʰ ɔ̃ ⁵⁵ [end]
[start] Luobenzhuo ŋ a ⁴⁴ [end]	[start] Luobenzhuo ɴ ã ⁵⁵ [end]
[start] Luobenzhuo pʰ ɯ ⁵⁵ [end]	[start] Luobenzhuo pʰ ɯ ⁴⁴ [end]
[start] Luobenzhuo p ɔ ⁴⁴ [end]	[start] Luobenzhuo p o ³³ [end]
[start] Luobenzhuo qʰ w a ⁴⁴ [end]	[start] Luobenzhuo qʰ w ɔ ⁵⁵ [end]
[start] Luobenzhuo ts ɿ ⁴² [end]	[start] Luobenzhuo ʈʂ ʅ ⁴² [end]
[start] Luobenzhuo tɕ ĩ ³³ [end]	[start] Luobenzhuo tɕ ã ⁴⁴ [end]
[start] Luobenzhuo t a ⁴⁴ [end]	[start] Luobenzhuo t a ⁴⁴ [end]
[start] Qiliqiao x e ⁵⁵ [end]	[start] Qiliqiao x e ⁵⁵ [end]
[start] Qiliqiao t ɯ ³¹ [end]	[start] Qiliqiao t ɯ ³¹ [end]
[start] Qiliqiao t ɯ ³¹ [end]	[start] Qiliqiao t ɯ ³¹ [end]
[start] Qiliqiao tsʰ ɿ ³¹ [end]	[start] Qiliqiao tsʰ ɯ ³¹ [end]
[start] Qiliqiao t ɯ ³¹ [end]	[start] Qiliqiao t ɯ ³¹ [end]
[start] Qiliqiao pʰ ɔ ⁴⁴ [end]	[start] Qiliqiao pʰ ɔ ⁴⁴ [end]
[start] Qiliqiao tsʰ ɯ ³¹ [end]	[start] Qiliqiao tsʰ ɯ ³¹ [end]
[start] Qiliqiao l a ³⁵ [end]	[start] Qiliqiao l a ³⁵ [end]
[start] Qiliqiao ts ɿ ³¹ [end]	[start] Qiliqiao ts ɿ ³¹ [end]
[start] Qiliqiao t o ²¹ [end]	[start] Qiliqiao t ɔ ²¹ [end]
[start] Qiliqiao t a ²¹ [end]	[start] Qiliqiao t a ²¹ [end]
[start] Qiliqiao ɕ y ⁵⁵ [end]	[start] Qiliqiao ɕ y ⁵⁵ [end]
[start] Qiliqiao l i ⁵⁵ [end]	[start] Qiliqiao l i ⁵⁵ [end]
[start] Qiliqiao s ɿ ³³ [end]	[start] Qiliqiao s ɛ ³³ [end]
[start] Qiliqiao ts ɤ ³³ [end]	[start] Qiliqiao ts ɤ ³³ [end]
[start] Qiliqiao s e ⁴⁴ [end]	[start] Qiliqiao s e ⁴⁴ [end]
[start] Qiliqiao x ɔ ³⁵ [end]	[start] Qiliqiao x w ɔ ³⁵ [end]
[start] Qiliqiao kʰ w ɔ ³³ [end]	[start] Qiliqiao kʰ w ɔ ³³ [end]
[start] Qiliqiao s o ⁵⁵ [end]	[start] Qiliqiao s o ⁵⁵ [end]
[start] Qiliqiao tsʰ ɿ ⁵⁵ [end]	[start] Qiliqiao tsʰ ɿ ⁵⁵ [end]
[start] Qiliqiao k ɯ ³¹ [end]	[start] Qiliqiao k ɯ ³¹ [end]
[start] Qiliqiao p ɔ ²¹ [end]	[start] Qiliqiao p ɔ ²¹ [end]
[start] Qiliqiao p a ⁴⁴ [end]	[start] Qiliqiao p a ⁴⁴ [end]
[start] Qiliqiao ts e ³¹ [end]	[start] Qiliqiao ts e ⁴² [end]
[start] Qiliqiao s ɤ ³³ [end]	[start] Qiliqiao s ɯ ³³ [end]
[start] Qiliqiao s ɤ ³³ [end]	[start] Qiliqiao s ɯ ³³ [end]
[start] Qiliqiao s ɤ ³³ [end]	[start] Qiliqiao s ɯ ³³ [end]
[start] Qiliqiao k ɛ ⁴⁴ [end]	[start] Qiliqiao k j ɛ ⁴⁴ [end]
[start] Qiliqiao p a ³² [end]	[start] Qiliqiao p a ⁴² [end]
[start] Qiliqiao ɕ y ³³ [end]	[start] Qiliqiao ɕ y ³³ [end]
[start] Qiliqiao t e ⁴⁴ [end]	[start] Qiliqiao t e ⁴⁴ [end]
[start] Qiliqiao k w a ⁴⁴ [end]	[start] Qiliqiao k w a ⁴⁴ [end]
[start] Qiliqiao k ɔ ⁵⁵ [end]	[start] Qiliqiao k o ⁴⁴ [end]
[start] Qiliqiao k w a ⁴⁴ [end]	[start] Qiliqiao k w a ⁴⁴ [end]
[start] Qiliqiao s w a ⁴⁴ [end]	[start] Qiliqiao ʃ w a ⁴⁴ [end]
[start] Qiliqiao ts ɿ ³³ [end]	[start] Qiliqiao ts ɿ ³³ [end]
[start] Qiliqiao ts o ²¹ [end]	[start] Qiliqiao ts o ²¹ [end]
[start] Qiliqiao ɕ i ³⁵ [end]	[start] Qiliqiao ɕ i ³⁵ [end]
[start] Qiliqiao k a ³⁵ [end]	[start] Qiliqiao k a ³⁵ [end]
[start] Qiliqiao s ɿ ³³ [end]	[start] Qiliqiao s ɿ ³³ [end]
[start] Qiliqiao s ɔ ³¹ [end]	[start] Qiliqiao s ɿ ³³ [end]
[start] Qiliqiao ɲ i ²¹ [end]	[start] Qiliqiao ɲ i ²¹ [end]
[start] Qiliqiao k ɛ ³⁵ [end]	[start] Qiliqiao k ɛ ³⁵ [end]
[start] Qiliqiao ɲ ɤ ³³ [end]	[start] Qiliqiao n ɤ ³³ [end]
[start] Qiliqiao ɲ i ²¹ [end]	[start] Qiliqiao ɲ i ²¹ [end]
[start] Qiliqiao m ɔ ³³ [end]	[start] Qiliqiao m ɔ ³³ [end]
[start] Qiliqiao ɲ i ²¹ [end]	[start] Qiliqiao ɲ i ²¹ [end]
[start] Qiliqiao ts ɿ ³³ [end]	[start] Qiliqiao ts ɿ ³³ [end]
[start] Qiliqiao x ɔ ³¹ [end]	[start] Qiliqiao x ɔ ³¹ [end]
[start] Qiliqiao t ɤ ³⁵ [end]	[start] Qiliqiao t ɤ ³⁵ [end]
[start] Qiliqiao x ɔ ³¹ [end]	[start] Qiliqiao x ɔ ²¹ [end]
[start] Qiliqiao ts ɿ ³³ [end]	[start] Qiliqiao ts ɿ ³³ [end]
[start] Qiliqiao k u ²¹ [end]	[start] Qiliqiao k u ²¹ [end]
[start] Qiliqiao m e ²¹ [end]	[start] Qiliqiao m e ²¹ [end]
[start] Qiliqiao k ɔ ³¹ [end]	[start] Qiliqiao k ɤ ²¹ [end]
[start] Qiliqiao k ɛ ⁴² [end]	[start] Qiliqiao k j ɛ ⁴² [end]
[start] Qiliqiao l ɔ ³¹ [end]	[start] Qiliqiao l ɔ ³¹ [end]
[start] Qiliqiao k a ³⁵ [end]	[start] Qiliqiao k a ³⁵ [end]
[start] Qiliqiao m e ³³ [end]	[start] Qiliqiao m e ³³ [end]
[start] Qiliqiao pʰ ɛ ⁵⁵ [end]	[start] Qiliqiao pʰ ɛ ⁵⁵ [end]
[start] Qiliqiao ɲ i ⁴⁴ [end]	[start] Qiliqiao ɲ i ⁴⁴ [end]
[start] Qiliqiao p e ³³ [end]	[start] Qiliqiao p e ³³ [end]
[start] Qiliqiao ts ɿ ³⁵ [end]	[start] Qiliqiao ts ɿ ³⁵ [end]
[start] Qiliqiao k ɛ ²¹ [end]	[start] Qiliqiao k j ɛ ²¹ [end]
[start] Qiliqiao ts ɔ ²¹ [end]	[start] Qiliqiao ts ɔ ²¹ [end]
[start] Qiliqiao s ɔ ³⁵ [end]	[start] Qiliqiao s ɔ ⁵⁵ [end]
[start] Qiliqiao t ɔ ²¹ [end]	[start] Qiliqiao t ɔ ²¹ [end]
[start] Qiliqiao j i ³⁵ [end]	[start] Qiliqiao j o ³⁵ [end]
[start] Qiliqiao ts ɤ ²¹ [end]	[start] Qiliqiao ts ɤ ²¹ [end]
[start] Qiliqiao tɕ i ³⁵ [end]	[start] Qiliqiao tɕ i ³⁵ [end]
[start] Qiliqiao l ɔ ²¹ [end]	[start] Qiliqiao l ɔ ²¹ [end]
[start] Qiliqiao s ɤ ³² [end]	[start] Qiliqiao s ɤ ³² [end]
[start] Qiliqiao ts ɔ ⁴² [end]	[start] Qiliqiao ts ɔ ³² [end]
[start] Qiliqiao ɕ i ⁵⁵ [end]	[start] Qiliqiao ɕ i ³⁵ [end]
[start] Qiliqiao t ɯ ³⁵ [end]	[start] Qiliqiao t ɯ ³⁵ [end]
[start] Qiliqiao ts o ⁴² [end]	[start] Qiliqiao ts o ⁴² [end]
[start] Qiliqiao kʰ w e ³⁵ [end]	[start] Qiliqiao kʰ w e ⁵⁵ [end]
[start] Qiliqiao tɕʰ i ³¹ [end]	[start] Qiliqiao tɕʰ i ³¹ [end]
[start] Qiliqiao t a ³⁵ [end]	[start] Qiliqiao t a ³⁵ [end]
[start] Qiliqiao ts ɿ ³³ [end]	[start] Qiliqiao ts ɿ ³³ [end]
[start] Qiliqiao tsʰ ɛ ⁵⁵ [end]	[start] Qiliqiao tsʰ ɛ ⁵⁵ [end]
[start] Qiliqiao s ɿ ³¹ [end]	[start] Qiliqiao s ɿ ³¹ [end]
[start] Qiliqiao s ɿ ³¹ [end]	[start] Qiliqiao s ɿ ²¹ [end]
[start] Qiliqiao k ɤ ³³ [end]	[start] Qiliqiao k ɤ ³³ [end]
[start] Qiliqiao w e ⁴² [end]	[start] Qiliqiao w e ⁴² [end]
[start] Qiliqiao t ɯ ²¹ [end]	[start] Qiliqiao tɕ i ⁴² [end]
[start] Qiliqiao k ɛ ⁴² [end]	[start] Qiliqiao k j ɛ ³² [end]
[start] Qiliqiao k ɛ ⁴² [end]	[start] Qiliqiao k j ɛ ³² [end]
[start] Qiliqiao j ɔ ⁴⁴ [end]	[start] Qiliqiao j o ⁴⁴ [end]
[start] Qiliqiao tɕʰ ɛ ⁵⁵ [end]	[start] Qiliqiao tɕʰ ɛ ⁵⁵ [end]
[start] Qiliqiao ŋ a ⁴⁴ [end]	[start] Qiliqiao ŋ a ⁴⁴ [end]
[start] Qiliqiao pʰ ɯ ⁵⁵ [end]	[start] Qiliqiao pʰ ɯ ⁵⁵ [end]
[start] Qiliqiao p o ⁴⁴ [end]	[start] Qiliqiao p o ⁴⁴ [end]
[start] Qiliqiao kʰ w a ⁴⁴ [end]	[start] Qiliqiao kʰ w a ⁴⁴ [end]
[start] Qiliqiao ts ɿ ⁴² [end]	[start] Qiliqiao ts ɿ ⁴² [end]
[start] Qiliqiao tɕ i ³³ [end]	[start] Qiliqiao tɕ i ³³ [end]
[start] Qiliqiao t a ³² [end]	[start] Qiliqiao t a ⁴² [end]
[start] Xiangyun x ẽ ⁵⁵ [end]	[start] Xiangyun x ẽ ⁵⁵ [end]
[start] Xiangyun t ou ³¹ [end]	[start] Xiangyun t ou ³¹ [end]
[start] Xiangyun t ou ³¹ [end]	[start] Xiangyun t ou ³¹ [end]
[start] Xiangyun tsʰ ou ³¹ [end]	[start] Xiangyun tsʰ ou ³¹ [end]
[start] Xiangyun t ou ³¹ [end]	[start] Xiangyun t ou ³¹ [end]
[start] Xiangyun pʰ ɔu ⁴⁴ [end]	[start] Xiangyun pʰ ɔ ⁴⁴ [end]
[start] Xiangyun tsʰ ou ³¹ [end]	[start] Xiangyun tsʰ ou ³¹ [end]
[start] Xiangyun l a ³⁵ [end]	[start] Xiangyun l a ³⁵ [end]
[start] Xiangyun z ɿ ³¹ [end]	[start] Xiangyun ts ɿ ³¹ [end]
[start] Xiangyun t ɔ ²¹ [end]	[start] Xiangyun t ɔ ²¹ [end]
[start] Xiangyun t a ²¹ [end]	[start] Xiangyun t a ²¹ [end]
[start] Xiangyun ɕ y ⁵⁵ [end]	[start] Xiangyun ɕ y ⁵⁵ [end]
[start] Xiangyun l i ⁵⁵ [end]	[start] Xiangyun l i ⁵⁵ [end]
[start] Xiangyun s ɛ̃ ³³ [end]	[start] Xiangyun s ɛ̃ ³³ [end]
[start] Xiangyun tɕ ɛ̃ ³³ [end]	[start] Xiangyun tsʰ u ³³ [end]
[start] Xiangyun s e ⁴⁴ [end]	[start] Xiangyun s e ⁴⁴ [end]
[start] Xiangyun x ɔ ³⁵ [end]	[start] Xiangyun x o ³⁵ [end]
[start] Xiangyun kʰ ɔ ³³ [end]	[start] Xiangyun kʰ o ³³ [end]
[start] Xiangyun s ã ⁵⁵ [end]	[start] Xiangyun s ou ⁵⁵ [end]
[start] Xiangyun tsʰ ɿ ⁵⁵ [end]	[start] Xiangyun tsʰ ɛ̃ ⁵⁵ [end]
[start] Xiangyun k ou ³¹ [end]	[start] Xiangyun k ou ³¹ [end]
[start] Xiangyun p ɔ ²¹ [end]	[start] Xiangyun p o ²¹ [end]
[start] Xiangyun p ã ⁴⁴ [end]	[start] Xiangyun p a ⁴⁴ [end]
[start] Xiangyun ts ẽ ⁴² [end]	[start] Xiangyun t ou ³¹ [end]
[start] Xiangyun s ou ³³ [end]	[start] Xiangyun s ou ³³ [end]
[start] Xiangyun s ou ³³ [end]	[start] Xiangyun s ou ³³ [end]
[start] Xiangyun s ou ³³ [end]	[start] Xiangyun s ou ³³ [end]
[start] Xiangyun kʲ ɛ ⁴⁴ [end]	[start] Xiangyun kʲ ɛ ⁴⁴ [end]
[start] Xiangyun p a ⁴² [end]	[start] Xiangyun p a ⁴² [end]
