Predicted	Actual
[start] DujiangEasternSandong m u m ¹ [end]	[start] DujiangEasternSandong m u m ¹ [end]
[start] DujiangEasternSandong ˀm i ¹ [end]	[start] DujiangEasternSandong ˀm i ¹ [end]
[start] DujiangEasternSandong m o n ¹ [end]	[start] DujiangEasternSandong m o n ¹ [end]
[start] DujiangEasternSandong l j a n ¹ [end]	[start] DujiangEasternSandong l j ə n ¹ [end]
[start] DujiangEasternSandong ⁿb i n ¹ [end]	[start] DujiangEasternSandong ⁿb i n ¹ [end]
[start] DujiangEasternSandong m o m ¹ [end]	[start] DujiangEasternSandong m o m ¹ [end]
[start] DujiangEasternSandong ˀȵ o ŋ ¹ [end]	[start] DujiangEasternSandong ˀȵ o ŋ ¹ [end]
[start] DujiangEasternSandong ˀb a ¹ [end]	[start] DujiangEasternSandong ⁿb a ¹ [end]
[start] DujiangEasternSandong l u k ¹ [end]	[start] DujiangEasternSandong l u k ¹ [end]
[start] DujiangEasternSandong m ə t ¹ [end]	[start] DujiangEasternSandong m ə t ¹ [end]
[start] DujiangEasternSandong ⁿd j a k ¹ [end]	[start] DujiangEasternSandong ⁿd j a k ¹ [end]
[start] DujiangEasternSandong k i ¹ [end]	[start] DujiangEasternSandong k i ¹ [end]
[start] DujiangEasternSandong kʰ u p ¹ [end]	[start] DujiangEasternSandong kʰ u p ¹ [end]
[start] DujiangEasternSandong n a n ¹ [end]	[start] DujiangEasternSandong n a n ¹ [end]
[start] DujiangEasternSandong h a t ¹ [end]	[start] DujiangEasternSandong m̥ a t ¹ [end]
[start] DujiangEasternSandong ˀn u n ¹ [end]	[start] DujiangEasternSandong ˀn u n ¹ [end]
[start] DujiangEasternSandong h a n ¹ [end]	[start] DujiangEasternSandong h a n ¹ [end]
[start] DujiangEasternSandong h ui ¹ [end]	[start] DujiangEasternSandong h ui ¹ [end]
[start] DujiangEasternSandong k a ¹ [end]	[start] DujiangEasternSandong k a ¹ [end]
[start] DujiangEasternSandong ˀȵ aː k ¹ [end]	[start] DujiangEasternSandong ˀȵ aː k ¹ [end]
[start] DujiangEasternSandong v a ¹ [end]	[start] DujiangEasternSandong v a ¹ [end]
[start] DujiangEasternSandong ts ə n ¹ [end]	[start] DujiangEasternSandong ts ə n ¹ [end]
[start] DujiangEasternSandong k ai ¹ [end]	[start] DujiangEasternSandong k ai ¹ [end]
[start] DujiangEasternSandong h ə t ¹ [end]	[start] DujiangEasternSandong h ə t ¹ [end]
[start] DujiangEasternSandong p j a m ¹ [end]	[start] DujiangEasternSandong p j a m ¹ [end]
[start] DujiangEasternSandong ts ə n ¹ [end]	[start] DujiangEasternSandong ts ə n ¹ [end]
[start] DujiangEasternSandong p j aː k ¹ [end]	[start] DujiangEasternSandong p j aː k ¹ [end]
[start] DujiangEasternSandong ˀn a ¹ [end]	[start] DujiangEasternSandong ˀn a ¹ [end]
[start] DujiangEasternSandong ŋ ai ¹ [end]	[start] DujiangEasternSandong ŋ ai ¹ [end]
[start] DujiangEasternSandong ⁿd a ¹ [end]	[start] DujiangEasternSandong ⁿd a ¹ [end]
[start] DujiangEasternSandong qʰ a ¹ [end]	[start] DujiangEasternSandong qʰ a ¹ [end]
[start] DujiangEasternSandong ˀn a ŋ ¹ [end]	[start] DujiangEasternSandong ˀn a ŋ ¹ [end]
[start] DujiangEasternSandong m u k ¹ [end]	[start] DujiangEasternSandong m u k ¹ [end]
[start] DujiangEasternSandong m a ¹ [end]	[start] DujiangEasternSandong m a ¹ [end]
[start] DujiangEasternSandong n j u t ¹ [end]	[start] DujiangEasternSandong n j uː t ¹ [end]
[start] DujiangEasternSandong q o ¹ [end]	[start] DujiangEasternSandong q o ¹ [end]
[start] DujiangEasternSandong h a ¹ [end]	[start] DujiangEasternSandong h a ¹ [end]
[start] DujiangEasternSandong ɕ i n ¹ [end]	[start] DujiangEasternSandong ɕ i n ¹ [end]
[start] DujiangEasternSandong h aː k ¹ [end]	[start] DujiangEasternSandong h aː k ¹ [end]
[start] DujiangEasternSandong m j a ¹ [end]	[start] DujiangEasternSandong m j a ¹ [end]
[start] DujiangEasternSandong m j a ¹ [end]	[start] DujiangEasternSandong m j a ¹ [end]
[start] DujiangEasternSandong ȶ o n ¹ [end]	[start] DujiangEasternSandong ȶ o n ¹ [end]
[start] DujiangEasternSandong ˀd j a p ¹ [end]	[start] DujiangEasternSandong l j a p ¹ [end]
[start] DujiangEasternSandong t a k ¹ [end]	[start] DujiangEasternSandong t a k ¹ [end]
[start] DujiangEasternSandong t j u ¹ [end]	[start] DujiangEasternSandong t j u ¹ [end]
[start] DujiangEasternSandong t i n ¹ [end]	[start] DujiangEasternSandong t i n ¹ [end]
[start] DujiangEasternSandong ˀd aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong ˀd aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong ˀd aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong h j e t ¹ [end]	[start] DujiangEasternSandong kʰ ə t ¹ [end]
[start] DujiangEasternSandong ɕ u m ¹ [end]	[start] DujiangEasternSandong h j u m ¹ [end]
[start] DujiangEasternSandong p u t ¹ [end]	[start] DujiangEasternSandong p uː t ¹ [end]
[start] DujiangEasternSandong l o ŋ ¹ [end]	[start] DujiangEasternSandong l o ŋ ¹ [end]
[start] DujiangEasternSandong ⁿd ə n ¹ [end]	[start] DujiangEasternSandong d ə n ¹ [end]
[start] DujiangEasternSandong pʰ j aː t ¹ [end]	[start] DujiangEasternSandong pʰ j aː t ¹ [end]
[start] DujiangEasternSandong ˀn j u ¹ [end]	[start] DujiangEasternSandong ˀn j u ¹ [end]
[start] DujiangEasternSandong n aː n ¹ [end]	[start] DujiangEasternSandong n aː n ¹ [end]
[start] DujiangEasternSandong m a n ¹ [end]	[start] DujiangEasternSandong m a n ¹ [end]
[start] DujiangEasternSandong ȶ j a ¹ [end]	[start] DujiangEasternSandong ȶ a ¹ [end]
[start] DujiangEasternSandong ʔ j u t ¹ [end]	[start] DujiangEasternSandong ʔ j uː t ¹ [end]
[start] DujiangEasternSandong p u ŋ ¹ [end]	[start] DujiangEasternSandong p u ŋ ¹ [end]
[start] DujiangEasternSandong ts u ¹ [end]	[start] DujiangEasternSandong ts u ¹ [end]
[start] DujiangEasternSandong t ui ¹ [end]	[start] DujiangEasternSandong t ui ¹ [end]
[start] DujiangEasternSandong ts u ŋ ¹ [end]	[start] DujiangEasternSandong ts u ŋ ¹ [end]
[start] DujiangEasternSandong k w e ŋ ¹ [end]	[start] DujiangEasternSandong k w e ŋ ¹ [end]
[start] DujiangEasternSandong ˀd o ŋ ¹ [end]	[start] DujiangEasternSandong ⁿd o ŋ ¹ [end]
[start] DujiangEasternSandong k w aː n ¹ [end]	[start] DujiangEasternSandong k w aː n ¹ [end]
[start] DujiangEasternSandong pʰ j e ¹ [end]	[start] DujiangEasternSandong pʰ j e ¹ [end]
[start] DujiangEasternSandong ʔ i t ¹ [end]	[start] DujiangEasternSandong ʔ i t ¹ [end]
[start] DujiangEasternSandong m ai ¹ [end]	[start] DujiangEasternSandong m ai ¹ [end]
[start] DujiangEasternSandong ʁ aː n ¹ [end]	[start] DujiangEasternSandong ʁ aː n ¹ [end]
[start] DujiangEasternSandong ⁿb ə n ¹ [end]	[start] DujiangEasternSandong ⁿb ə n ¹ [end]
[start] DujiangEasternSandong m j e n ¹ [end]	[start] DujiangEasternSandong m j e n ¹ [end]
[start] DujiangEasternSandong l e ¹ [end]	[start] DujiangEasternSandong l e ¹ [end]
[start] DujiangEasternSandong ȵ aː n ¹ [end]	[start] DujiangEasternSandong ȵ aː n ¹ [end]
[start] DujiangEasternSandong t o ¹ [end]	[start] DujiangEasternSandong t o ¹ [end]
[start] DujiangEasternSandong ʔ j a ¹ [end]	[start] DujiangEasternSandong ʔ j a ¹ [end]
[start] DujiangEasternSandong ⁿd u k ¹ [end]	[start] DujiangEasternSandong ⁿd u k ¹ [end]
[start] DujiangEasternSandong t j u m ¹ [end]	[start] DujiangEasternSandong t j u m ¹ [end]
[start] DujiangEasternSandong m j a ¹ [end]	[start] DujiangEasternSandong m j a ¹ [end]
[start] DujiangEasternSandong h a ¹ [end]	[start] DujiangEasternSandong h a ¹ [end]
[start] DujiangEasternSandong l j ə k ¹ [end]	[start] DujiangEasternSandong l j ə k ¹ [end]
[start] DujiangEasternSandong ɕ e n ¹ [end]	[start] DujiangEasternSandong h j e n ¹ [end]
[start] DujiangEasternSandong ˀb aː n ¹ [end]	[start] DujiangEasternSandong ⁿb aː n ¹ [end]
[start] DujiangEasternSandong h ə n ¹ [end]	[start] DujiangEasternSandong h ə n ¹ [end]
[start] DujiangEasternSandong kʰ u n ¹ [end]	[start] DujiangEasternSandong kʰ w ə n ¹ [end]
[start] DujiangEasternSandong t i n ¹ [end]	[start] DujiangEasternSandong t i n ¹ [end]
[start] DujiangEasternSandong ɣ aː n ¹ [end]	[start] DujiangEasternSandong ɣ aː n ¹ [end]
[start] DujiangEasternSandong h j aː n ¹ [end]	[start] DujiangEasternSandong f j aː n ¹ [end]
[start] DujiangEasternSandong v j a n ¹ [end]	[start] DujiangEasternSandong v j a n ¹ [end]
[start] DujiangEasternSandong p u ¹ [end]	[start] DujiangEasternSandong p u ¹ [end]
[start] DujiangEasternSandong n i ¹ [end]	[start] DujiangEasternSandong n i ¹ [end]
[start] DujiangEasternSandong l u ŋ ¹ [end]	[start] DujiangEasternSandong l u ŋ ¹ [end]
[start] DujiangEasternSandong ts u ¹ [end]	[start] DujiangEasternSandong ts u ¹ [end]
[start] DujiangEasternSandong p a ¹ [end]	[start] DujiangEasternSandong p a ¹ [end]
[start] DujiangEasternSandong q o ŋ ¹ [end]	[start] DujiangEasternSandong q o ŋ ¹ [end]
[start] DujiangEasternSandong j a ¹ [end]	[start] DujiangEasternSandong j a ¹ [end]
[start] DujiangEasternSandong l aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong ⁿb aː n ¹ [end]	[start] DujiangEasternSandong ⁿb aː n ¹ [end]
[start] DujiangEasternSandong l aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong ⁿb j aː k ¹ [end]	[start] DujiangEasternSandong ⁿb j aː k ¹ [end]
[start] DujiangEasternSandong n u ¹ [end]	[start] DujiangEasternSandong n u ¹ [end]
[start] DujiangEasternSandong l aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong h e k ¹ [end]	[start] DujiangEasternSandong h e k ¹ [end]
[start] DujiangEasternSandong ɣ u m ¹ [end]	[start] DujiangEasternSandong ɣ u m ¹ [end]
[start] DujiangEasternSandong p j a m ¹ [end]	[start] DujiangEasternSandong p j a m ¹ [end]
[start] DujiangEasternSandong ⁿd j ai ¹ [end]	[start] DujiangEasternSandong ⁿd j ai ¹ [end]
[start] DujiangEasternSandong l i k ¹ [end]	[start] DujiangEasternSandong l i k ¹ [end]
[start] DujiangEasternSandong h aːi ¹ [end]	[start] DujiangEasternSandong h aːi ¹ [end]
[start] DujiangEasternSandong l j a k ¹ [end]	[start] DujiangEasternSandong l j a k ¹ [end]
[start] DujiangEasternSandong p aːi ¹ [end]	[start] DujiangEasternSandong p aːi ¹ [end]
[start] DujiangEasternSandong ʔ u k ¹ [end]	[start] DujiangEasternSandong ʔ u k ¹ [end]
[start] DujiangEasternSandong s aː m ¹ [end]	[start] DujiangEasternSandong s aː m ¹ [end]
[start] DujiangEasternSandong t a ¹ [end]	[start] DujiangEasternSandong t a ¹ [end]
[start] DujiangEasternSandong ȶ i ¹ [end]	[start] DujiangEasternSandong ȶ i ¹ [end]
[start] DujiangEasternSandong t o k ¹ [end]	[start] DujiangEasternSandong t o k ¹ [end]
[start] DujiangEasternSandong ȶ o k ¹ [end]	[start] DujiangEasternSandong ȶ o k ¹ [end]
[start] DujiangEasternSandong s e ŋ ¹ [end]	[start] DujiangEasternSandong s e ŋ ¹ [end]
[start] DujiangEasternSandong k w aː ŋ ¹ [end]	[start] DujiangEasternSandong k w aː ŋ ¹ [end]
[start] DujiangEasternSandong n u n ¹ [end]	[start] DujiangEasternSandong n u n ¹ [end]
[start] DujiangEasternSandong l a ¹ [end]	[start] DujiangEasternSandong l w a ¹ [end]
[start] DujiangEasternSandong ts j ə n ¹ [end]	[start] DujiangEasternSandong ts ə n ¹ [end]
[start] DujiangEasternSandong ʔ aː p ¹ [end]	[start] DujiangEasternSandong ʔ aː p ¹ [end]
[start] DujiangEasternSandong v j ə n ¹ [end]	[start] DujiangEasternSandong v j ə n ¹ [end]
[start] DujiangEasternSandong s u k ¹ [end]	[start] DujiangEasternSandong s u k ¹ [end]
[start] DujiangEasternSandong l a k ¹ [end]	[start] DujiangEasternSandong l a k ¹ [end]
[start] DujiangEasternSandong n e ¹ [end]	[start] DujiangEasternSandong n e ¹ [end]
[start] DujiangEasternSandong q a t ¹ [end]	[start] DujiangEasternSandong q a t ¹ [end]
[start] DujiangEasternSandong p a n ¹ [end]	[start] DujiangEasternSandong p a n ¹ [end]
[start] DujiangEasternSandong ʔ j a m ¹ [end]	[start] DujiangEasternSandong ʔ j a m ¹ [end]
[start] DujiangEasternSandong t j e m ¹ [end]	[start] DujiangEasternSandong t j e m ¹ [end]
[start] DujiangEasternSandong s aːi ¹ [end]	[start] DujiangEasternSandong s aːi ¹ [end]
[start] DujiangEasternSandong k u ¹ [end]	[start] DujiangEasternSandong k u ¹ [end]
[start] DujiangEasternSandong ˀȵ e ¹ [end]	[start] DujiangEasternSandong ˀȵ e ¹ [end]
[start] DujiangEasternSandong h u p ¹ [end]	[start] DujiangEasternSandong h u p ¹ [end]
[start] DujiangEasternSandong ȶ i ¹ [end]	[start] DujiangEasternSandong ȶ i ¹ [end]
[start] DujiangEasternSandong kʰ au ¹ [end]	[start] DujiangEasternSandong kʰ au ¹ [end]
[start] DujiangEasternSandong ⁿb j a ¹ [end]	[start] DujiangEasternSandong ⁿb j a ¹ [end]
[start] DujiangEasternSandong l a m ¹ [end]	[start] DujiangEasternSandong l a m ¹ [end]
[start] DujiangEasternSandong v a ¹ [end]	[start] DujiangEasternSandong v a ¹ [end]
[start] DujiangEasternSandong l aːi ¹ [end]	[start] DujiangEasternSandong l aːi ¹ [end]
[start] DujiangEasternSandong pʰ u t ¹ [end]	[start] DujiangEasternSandong pʰ uː t ¹ [end]
[start] DujiangEasternSandong ŋ a p ¹ [end]	[start] DujiangEasternSandong ŋ a p ¹ [end]
[start] DujiangEasternSandong ˀŋ a m ¹ [end]	[start] DujiangEasternSandong ˀŋ a m ¹ [end]
[start] DujiangEasternSandong ȶ i t ¹ [end]	[start] DujiangEasternSandong ȶ i t ¹ [end]
[start] DujiangEasternSandong ˀŋ w a t ¹ [end]	[start] DujiangEasternSandong ˀŋ w a t ¹ [end]
[start] DujiangEasternSandong t i p ¹ [end]	[start] DujiangEasternSandong t i p ¹ [end]
[start] DujiangEasternSandong ɕ ə n ¹ [end]	[start] DujiangEasternSandong h j ə n ¹ [end]
[start] DujiangEasternSandong t a k ¹ [end]	[start] DujiangEasternSandong t a k ¹ [end]
[start] DujiangEasternSandong q u m ¹ [end]	[start] DujiangEasternSandong q u m ¹ [end]
[start] DujiangEasternSandong h u t ¹ [end]	[start] DujiangEasternSandong ɣ uː t ¹ [end]
[start] DujiangEasternSandong s j k ¹ [end]	[start] DujiangEasternSandong s u k ¹ [end]
[start] DujiangEasternSandong pʰ j aːu ¹ [end]	[start] DujiangEasternSandong pʰ j aːu ¹ [end]
[start] DujiangEasternSandong t aːu ¹ [end]	[start] DujiangEasternSandong t aːu ¹ [end]
[start] DujiangEasternSandong ˀm e ¹ [end]	[start] DujiangEasternSandong ˀm e ¹ [end]
[start] DujiangEasternSandong k a ¹ [end]	[start] DujiangEasternSandong k a ¹ [end]
[start] DujiangEasternSandong ʔ aːu ¹ [end]	[start] DujiangEasternSandong ʔ aːu ¹ [end]
[start] DujiangEasternSandong t aː p ¹ [end]	[start] DujiangEasternSandong t aː p ¹ [end]
[start] DujiangEasternSandong ʔ a m ¹ [end]	[start] DujiangEasternSandong ʔ a m ¹ [end]
[start] DujiangEasternSandong ʔ u m ¹ [end]	[start] DujiangEasternSandong ʔ u m ¹ [end]
[start] DujiangEasternSandong ȶ i t ¹ [end]	[start] DujiangEasternSandong ȶ i t ¹ [end]
[start] DujiangEasternSandong j a n ¹ [end]	[start] DujiangEasternSandong j a n ¹ [end]
[start] DujiangEasternSandong t ə t ¹ [end]	[start] DujiangEasternSandong t ə t ¹ [end]
[start] DujiangEasternSandong t ai ¹ [end]	[start] DujiangEasternSandong t ai ¹ [end]
[start] DujiangEasternSandong h a ¹ [end]	[start] DujiangEasternSandong h a ¹ [end]
[start] DujiangEasternSandong ⁿd aːu ¹ [end]	[start] DujiangEasternSandong d aːu ¹ [end]
[start] DujiangEasternSandong s aːu ¹ [end]	[start] DujiangEasternSandong s aːu ¹ [end]
[start] DujiangEasternSandong n aːi ¹ [end]	[start] DujiangEasternSandong n aːi ¹ [end]
[start] DujiangEasternSandong s i ¹ [end]	[start] DujiangEasternSandong s i ¹ [end]
[start] DujiangEasternSandong f a ¹ [end]	[start] DujiangEasternSandong f a ¹ [end]
[start] DujiangEasternSandong t a ¹ [end]	[start] DujiangEasternSandong t a ¹ [end]
[start] DujiangEasternSandong l ə n ¹ [end]	[start] DujiangEasternSandong l ə n ¹ [end]
[start] DujiangEasternSandong ȵ aːu ¹ [end]	[start] DujiangEasternSandong ȵ aːu ¹ [end]
[start] DujiangEasternSandong m e ¹ [end]	[start] DujiangEasternSandong m e ¹ [end]
[start] DujiangEasternSandong t o ¹ [end]	[start] DujiangEasternSandong t o ¹ [end]
[start] DujiangEasternSandong ʔ j ə t ¹ [end]	[start] DujiangEasternSandong ʔ j ə t ¹ [end]
[start] DujiangEasternSandong ɣ a ¹ [end]	[start] DujiangEasternSandong ɣ a ¹ [end]
[start] DujiangEasternSandong ȵ i ¹ [end]	[start] DujiangEasternSandong ȵ i ¹ [end]
[start] DujiangEasternSandong h aː m ¹ [end]	[start] DujiangEasternSandong h aː m ¹ [end]
[start] DujiangEasternSandong h i ¹ [end]	[start] DujiangEasternSandong h i ¹ [end]
[start] DujiangEasternSandong ŋ o ¹ [end]	[start] DujiangEasternSandong ŋ o ¹ [end]
[start] DujiangEasternSandong l j o k ¹ [end]	[start] DujiangEasternSandong l j o k ¹ [end]
[start] DujiangEasternSandong ɕ ə t ¹ [end]	[start] DujiangEasternSandong h j ə t ¹ [end]
[start] DujiangEasternSandong p aː t ¹ [end]	[start] DujiangEasternSandong p aː t ¹ [end]
[start] DujiangEasternSandong ȶ u ¹ [end]	[start] DujiangEasternSandong ȶ u ¹ [end]
[start] DujiangEasternSandong s u p ¹ [end]	[start] DujiangEasternSandong s u p ¹ [end]
[start] DujiangEasternSandong p e k ¹ [end]	[start] DujiangEasternSandong p e k ¹ [end]
[start] DujiangEasternSandong ˀn a m ¹ [end]	[start] DujiangEasternSandong ˀn a m ¹ [end]
[start] DujiangEasternSandong h a m ¹ [end]	[start] DujiangEasternSandong h a m ¹ [end]
[start] DujiangEasternSandong ˀȵ a m ¹ [end]	[start] DujiangEasternSandong ˀȵ a m ¹ [end]
[start] DujiangEasternSandong q o n ¹ [end]	[start] DujiangEasternSandong k o n ¹ [end]
[start] DujiangEasternSandong q a n ¹ [end]	[start] DujiangEasternSandong k i ŋ ¹ [end]
[start] DujiangEasternSandong ˀd a k ¹ [end]	[start] DujiangEasternSandong ⁿd a k ¹ [end]
[start] DujiangEasternSandong ˀm ai ¹ [end]	[start] DujiangEasternSandong ˀm ai ¹ [end]
[start] DujiangEasternSandong ⁿb j a ¹ [end]	[start] DujiangEasternSandong ⁿb j a ¹ [end]
[start] DujiangEasternSandong ɕ e n ¹ [end]	[start] DujiangEasternSandong h j e n ¹ [end]
[start] DujiangEasternSandong s o k ¹ [end]	[start] DujiangEasternSandong s o k ¹ [end]
[start] DujiangEasternSandong t j a ŋ ¹ [end]	[start] DujiangEasternSandong t j a ŋ ¹ [end]
[start] DujiangEasternSandong ⁿd aː ŋ ¹ [end]	[start] DujiangEasternSandong ⁿd aː ŋ ¹ [end]
[start] DujiangEasternSandong h u m ¹ [end]	[start] DujiangEasternSandong h u m ¹ [end]
[start] DujiangEasternSandong q a m ¹ [end]	[start] DujiangEasternSandong q a m ¹ [end]
[start] DujiangEasternSandong j u ¹ [end]	[start] DujiangEasternSandong j u ¹ [end]
[start] DujiangEasternSandong qʰ aː t ¹ [end]	[start] DujiangEasternSandong qʰ aː t ¹ [end]
[start] DujiangEasternSandong j i k ¹ [end]	[start] DujiangEasternSandong j i k ¹ [end]
[start] DujiangEasternSandong h i m ¹ [end]	[start] DujiangEasternSandong kʰ i m ¹ [end]
[start] DujiangEasternSandong ɕ j u ¹ [end]	[start] DujiangEasternSandong ɕ j u ¹ [end]
[start] DujiangEasternSandong ˀm a ¹ [end]	[start] DujiangEasternSandong ˀm a ¹ [end]
[start] DujiangEasternSandong ˀn a ¹ [end]	[start] DujiangEasternSandong ˀn a ¹ [end]
[start] DujiangEasternSandong ˀb aː ŋ ¹ [end]	[start] DujiangEasternSandong ⁿb aː ŋ ¹ [end]
[start] DujiangEasternSandong t i ¹ [end]	[start] DujiangEasternSandong t i ¹ [end]
[start] DujiangEasternSandong z a n ¹ [end]	[start] DujiangEasternSandong z a n ¹ [end]
[start] DujiangEasternSandong ȵ aːi ¹ [end]	[start] DujiangEasternSandong ɣ aːi ¹ [end]
[start] DujiangEasternSandong ⁿd j ə n ¹ [end]	[start] DujiangEasternSandong ⁿd j ə n ¹ [end]
[start] DujiangEasternSandong v aː ŋ ¹ [end]	[start] DujiangEasternSandong v aː ŋ ¹ [end]
[start] DujiangEasternSandong ⁿd a m ¹ [end]	[start] DujiangEasternSandong ⁿd a m ¹ [end]
[start] DujiangEasternSandong ɕ a ŋ ¹ [end]	[start] DujiangEasternSandong h j a ŋ ¹ [end]
[start] DujiangEasternSandong ʔ j a m ¹ [end]	[start] DujiangEasternSandong ʔ j a m ¹ [end]
[start] DujiangEasternSandong k u ŋ ¹ [end]	[start] DujiangEasternSandong k u ŋ ¹ [end]
[start] DujiangEasternSandong ɕ eu ¹ [end]	[start] DujiangEasternSandong ɕ eːu ¹ [end]
[start] DujiangEasternSandong ⁿb aː n ¹ [end]	[start] DujiangEasternSandong ⁿb aː n ¹ [end]
[start] DujiangEasternSandong ⁿb j aː k ¹ [end]	[start] DujiangEasternSandong ⁿb j aː k ¹ [end]
[start] DujiangEasternSandong h o ¹ [end]	[start] DujiangEasternSandong h o ¹ [end]
[start] DujiangEasternSandong h oi ¹ [end]	[start] DujiangEasternSandong h oi ¹ [end]
[start] DujiangEasternSandong q aːu ¹ [end]	[start] DujiangEasternSandong q aːu ¹ [end]
[start] DujiangEasternSandong kʰ j a k ¹ [end]	[start] DujiangEasternSandong kʰ a k ¹ [end]
[start] DujiangEasternSandong t o ŋ ¹ [end]	[start] DujiangEasternSandong t o ŋ ¹ [end]
[start] DujiangEasternSandong v a n ¹ [end]	[start] DujiangEasternSandong w a n ¹ [end]
[start] DujiangEasternSandong ˀn ui ¹ [end]	[start] DujiangEasternSandong ˀn ui ¹ [end]
[start] DujiangEasternSandong ˀm u ¹ [end]	[start] DujiangEasternSandong ˀm u ¹ [end]
[start] DujiangEasternSandong s ə n ¹ [end]	[start] DujiangEasternSandong s ə n ¹ [end]
[start] DujiangEasternSandong v i ¹ [end]	[start] DujiangEasternSandong v i ¹ [end]
[start] DujiangEasternSandong f u k ¹ [end]	[start] DujiangEasternSandong v u k ¹ [end]
[start] DujiangEasternSandong ˀn j a ¹ [end]	[start] DujiangEasternSandong ˀn j a ¹ [end]
[start] DujiangEasternSandong f a n ¹ [end]	[start] DujiangEasternSandong f a n ¹ [end]
[start] DujiangEasternSandong h aː ŋ ¹ [end]	[start] DujiangEasternSandong h aː ŋ ¹ [end]
[start] DujiangEasternSandong l j aː k ¹ [end]	[start] DujiangEasternSandong l j aː k ¹ [end]
[start] DujiangEasternSandong ʔ ui ¹ [end]	[start] DujiangEasternSandong ʔ ui ¹ [end]
[start] DujiangEasternSandong j a ¹ [end]	[start] DujiangEasternSandong j a ¹ [end]
[start] DujiangEasternSandong q aː t ¹ [end]	[start] DujiangEasternSandong q aː t ¹ [end]
[start] DujiangEasternSandong q ui ¹ [end]	[start] DujiangEasternSandong k ui ¹ [end]
[start] DujiangEasternSandong ˀb j aː n ¹ [end]	[start] DujiangEasternSandong ⁿb j aː n ¹ [end]
[start] DujiangEasternSandong ȶ i ¹ [end]	[start] DujiangEasternSandong ȶ ə ¹ [end]
[start] DujiangEasternSandong f i k ¹ [end]	[start] DujiangEasternSandong f i k ¹ [end]
[start] DujiangEasternSandong t u ¹ [end]	[start] DujiangEasternSandong t u ¹ [end]
[start] DujiangEasternSandong t e ¹ [end]	[start] DujiangEasternSandong t e ¹ [end]
[start] DujiangEasternSandong f aː n ¹ [end]	[start] DujiangEasternSandong f aː n ¹ [end]
[start] DujiangEasternSandong t a p ¹ [end]	[start] DujiangEasternSandong t a p ¹ [end]
[start] DujiangEasternSandong kʰ e ¹ [end]	[start] DujiangEasternSandong kʰ e ¹ [end]
[start] DujiangEasternSandong l aː k ¹ [end]	[start] DujiangEasternSandong l aː k ¹ [end]
[start] DujiangEasternSandong t a ¹ [end]	[start] DujiangEasternSandong t a ¹ [end]
[start] DujiangEasternSandong s e ¹ [end]	[start] DujiangEasternSandong s e ¹ [end]
[start] DujiangEasternSandong t au ¹ [end]	[start] DujiangEasternSandong t au ¹ [end]
[start] DujiangEasternSandong z ə n ¹ [end]	[start] DujiangEasternSandong z ə n ¹ [end]
[start] DujiangEasternSandong h aːu ¹ [end]	[start] DujiangEasternSandong h aːu ¹ [end]
[start] DujiangEasternSandong k a ¹ [end]	[start] DujiangEasternSandong k a ¹ [end]
[start] DujiangEasternSandong s ui ¹ [end]	[start] DujiangEasternSandong s ui ¹ [end]
[start] DujiangEasternSandong ˀm j u ¹ [end]	[start] DujiangEasternSandong m j u ¹ [end]
[start] DujiangEasternSandong ʔ j aːi ¹ [end]	[start] DujiangEasternSandong ʔ j aːi ¹ [end]
[start] DujiangEasternSandong ˀd aː n ¹ [end]	[start] DujiangEasternSandong ⁿd aː n ¹ [end]
[start] DujiangEasternSandong l j aː k ¹ [end]	[start] DujiangEasternSandong l j aː k ¹ [end]
[start] DujiangEasternSandong ˀd aː k ¹ [end]	[start] DujiangEasternSandong ⁿd aː k ¹ [end]
[start] DujiangEasternSandong t a ŋ ¹ [end]	[start] DujiangEasternSandong t a ŋ ¹ [end]
[start] DujiangEasternSandong s o t ¹ [end]	[start] DujiangEasternSandong s o t ¹ [end]
[start] DujiangEasternSandong ⁿd aːu ¹ [end]	[start] DujiangEasternSandong ɣ aːu ¹ [end]
[start] DujiangEasternSandong p o ¹ [end]	[start] DujiangEasternSandong p o ¹ [end]
[start] DujiangEasternSandong h u ŋ ¹ [end]	[start] DujiangEasternSandong h u ŋ ¹ [end]
[start] DujiangEasternSandong ts a m ¹ [end]	[start] DujiangEasternSandong ts a m ¹ [end]
[start] DujiangEasternSandong t j ə t ¹ [end]	[start] DujiangEasternSandong t j ə t ¹ [end]
[start] DujiangEasternSandong ˀb j ə t ¹ [end]	[start] DujiangEasternSandong ⁿb j ə t ¹ [end]
[start] DujiangEasternSandong t a m ¹ [end]	[start] DujiangEasternSandong t a m ¹ [end]
[start] DujiangEasternSandong l j eu ¹ [end]	[start] DujiangEasternSandong l j eu ¹ [end]
