Predicted	Actual
[start] ZhongyuanYinyun t au ³⁵ [end]	[start] ZhongyuanYinyun t au ³⁵ [end]
[start] ZhongyuanYinyun ts j e ²¹⁴ [end]	[start] ZhongyuanYinyun ts j e ⁵¹ [end]
[start] ZhongyuanYinyun k a ³⁵ [end]	[start] ZhongyuanYinyun k a ³⁵ [end]
[start] ZhongyuanYinyun ts w o ⁵¹ [end]	[start] ZhongyuanYinyun ts u ⁵¹ [end]
[start] ZhongyuanYinyun tʰ ou ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ ou ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ a ³⁵ [end]	[start] ZhongyuanYinyun ʃ w a ³⁵ [end]
[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun k w a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun k w a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun ʒ ɿ ⁵⁵ [end]	[start] ZhongyuanYinyun ʒ ɿ ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ u ⁵¹ [end]	[start] ZhongyuanYinyun tʰ u ⁵¹ [end]
[start] ZhongyuanYinyun ʒ j u ²¹⁴ [end]	[start] ZhongyuanYinyun ʒ j u ²¹⁴ [end]
[start] ZhongyuanYinyun n w ei ⁵¹ [end]	[start] ZhongyuanYinyun n w ei ⁵¹ [end]
[start] ZhongyuanYinyun tsʰ ɥ e n ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ ɥ e n ⁵⁵ [end]
[start] ZhongyuanYinyun l j a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun l j a ŋ ³⁵ [end]
[start] ZhongyuanYinyun p a ²¹⁴ [end]	[start] ZhongyuanYinyun p a ²¹⁴ [end]
[start] ZhongyuanYinyun l j ou ²¹⁴ [end]	[start] ZhongyuanYinyun l j ou ²¹⁴ [end]
[start] ZhongyuanYinyun p j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun p j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ i ⁵⁵ [end]	[start] ZhongyuanYinyun kʰ i ⁵⁵ [end]
[start] ZhongyuanYinyun k w a n ⁵⁵ [end]	[start] ZhongyuanYinyun k o n ⁵⁵ [end]
[start] ZhongyuanYinyun t u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun t u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun l ə ŋ ⁵¹ [end]	[start] ZhongyuanYinyun l ə ŋ ³⁵ [end]
[start] ZhongyuanYinyun t ə ŋ ⁵¹ [end]	[start] ZhongyuanYinyun t ə ŋ ⁵¹ [end]
[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun x j u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun tʃʰ j u ²¹⁴ [end]	[start] ZhongyuanYinyun tʃʰ j u ²¹⁴ [end]
[start] ZhongyuanYinyun t au ⁵⁵ [end]	[start] ZhongyuanYinyun t au ⁵⁵ [end]
[start] ZhongyuanYinyun f u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun f ə n ⁵⁵ [end]
[start] ZhongyuanYinyun tsʰ j e ²¹⁴ [end]	[start] ZhongyuanYinyun tsʰ j e ²¹⁴ [end]
[start] ZhongyuanYinyun x w a ²¹⁴ [end]	[start] ZhongyuanYinyun x w a ²¹⁴ [end]
[start] ZhongyuanYinyun tʃʰ j u ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ u ⁵⁵ [end]
[start] ZhongyuanYinyun l i ⁵¹ [end]	[start] ZhongyuanYinyun l i ⁵¹ [end]
[start] ZhongyuanYinyun k w a ²¹⁴ [end]	[start] ZhongyuanYinyun k w a ²¹⁴ [end]
[start] ZhongyuanYinyun t au ⁵¹ [end]	[start] ZhongyuanYinyun t au ⁵¹ [end]
[start] ZhongyuanYinyun ʃ w a ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ w a ²¹⁴ [end]
[start] ZhongyuanYinyun tsʰ ɿ ⁵¹ [end]	[start] ZhongyuanYinyun tsʰ ɿ ⁵¹ [end]
[start] ZhongyuanYinyun tsʰ j e n ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ j e n ⁵⁵ [end]
[start] ZhongyuanYinyun ts j e n ³⁵ [end]	[start] ZhongyuanYinyun ts j e n ³⁵ [end]
[start] ZhongyuanYinyun pʰ i ²¹⁴ [end]	[start] ZhongyuanYinyun pʰ i ²¹⁴ [end]
[start] ZhongyuanYinyun l i ²¹⁴ [end]	[start] ZhongyuanYinyun l i ²¹⁴ [end]
[start] ZhongyuanYinyun tʃ j ou ⁵¹ [end]	[start] ZhongyuanYinyun tʃʰ j u ⁵¹ [end]
[start] ZhongyuanYinyun kʰ j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun kʰ j ə n ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ j au ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ j au ²¹⁴ [end]
[start] ZhongyuanYinyun x w a ⁵¹ [end]	[start] ZhongyuanYinyun x w a ⁵¹ [end]
[start] ZhongyuanYinyun p ai ²¹⁴ [end]	[start] ZhongyuanYinyun p ei ²¹⁴ [end]
[start] ZhongyuanYinyun tʃʰ ɿ ⁵⁵ [end]	[start] ZhongyuanYinyun ʃ ɿ ⁵⁵ [end]
[start] ZhongyuanYinyun ts j a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun ts j a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun ʃ i ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ i ²¹⁴ [end]
[start] ZhongyuanYinyun tsʰ j e n ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ j e n ⁵⁵ [end]
[start] ZhongyuanYinyun w u ³⁵ [end]	[start] ZhongyuanYinyun u ³⁵ [end]
[start] ZhongyuanYinyun p a n ⁵¹ [end]	[start] ZhongyuanYinyun p o n ⁵¹ [end]
[start] ZhongyuanYinyun n a m ⁵⁵ [end]	[start] ZhongyuanYinyun n a m ⁵⁵ [end]
[start] ZhongyuanYinyun l o n ⁵¹ [end]	[start] ZhongyuanYinyun l o n ³⁵ [end]
[start] ZhongyuanYinyun x ou ⁵¹ [end]	[start] ZhongyuanYinyun x ou ⁵¹ [end]
[start] ZhongyuanYinyun kʰ j u ⁵¹ [end]	[start] ZhongyuanYinyun kʰ j u ⁵¹ [end]
[start] ZhongyuanYinyun j ou ³⁵ [end]	[start] ZhongyuanYinyun j ou ³⁵ [end]
[start] ZhongyuanYinyun tsʰ j u ³⁵ [end]	[start] ZhongyuanYinyun tsʰ j u ³⁵ [end]
[start] ZhongyuanYinyun kʰ ou ³⁵ [end]	[start] ZhongyuanYinyun kʰ ou ³⁵ [end]
[start] ZhongyuanYinyun k u ³⁵ [end]	[start] ZhongyuanYinyun k u ³⁵ [end]
[start] ZhongyuanYinyun k j u ⁵¹ [end]	[start] ZhongyuanYinyun k j u ⁵¹ [end]
[start] ZhongyuanYinyun k j au ⁵¹ [end]	[start] ZhongyuanYinyun k j au ⁵¹ [end]
[start] ZhongyuanYinyun kʰ o ³⁵ [end]	[start] ZhongyuanYinyun kʰ o ³⁵ [end]
[start] ZhongyuanYinyun tʰ ai ⁵⁵ [end]	[start] ZhongyuanYinyun t ai ⁵⁵ [end]
[start] ZhongyuanYinyun m j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun m j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ u ³⁵ [end]	[start] ZhongyuanYinyun tʰ u ³⁵ [end]
[start] ZhongyuanYinyun f ou ³⁵ [end]	[start] ZhongyuanYinyun f u ³⁵ [end]
[start] ZhongyuanYinyun kʰ i ²¹⁴ [end]	[start] ZhongyuanYinyun x i ²¹⁴ [end]
[start] ZhongyuanYinyun tʃʰ w ei ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ w ei ⁵⁵ [end]
[start] ZhongyuanYinyun k au ⁵¹ [end]	[start] ZhongyuanYinyun k au ⁵¹ [end]
[start] ZhongyuanYinyun tʃ j ou ⁵⁵ [end]	[start] ZhongyuanYinyun tʃ j ou ⁵⁵ [end]
[start] ZhongyuanYinyun x u ⁵⁵ [end]	[start] ZhongyuanYinyun x u ⁵⁵ [end]
[start] ZhongyuanYinyun m j ə ŋ ⁵¹ [end]	[start] ZhongyuanYinyun m j ə ŋ ⁵¹ [end]
[start] ZhongyuanYinyun x w o ⁵⁵ [end]	[start] ZhongyuanYinyun x w o ⁵⁵ [end]
[start] ZhongyuanYinyun o ³⁵ [end]	[start] ZhongyuanYinyun k au ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ u ²¹⁴ [end]	[start] ZhongyuanYinyun kʰ u ²¹⁴ [end]
[start] ZhongyuanYinyun tʃʰ a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun tʃʰ j a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun x ou ⁵⁵ [end]	[start] ZhongyuanYinyun x ou ⁵⁵ [end]
[start] ZhongyuanYinyun ts w ei ³⁵ [end]	[start] ZhongyuanYinyun ts w ei ³⁵ [end]
[start] ZhongyuanYinyun s ɿ ⁵¹ [end]	[start] ZhongyuanYinyun s ɿ ⁵¹ [end]
[start] ZhongyuanYinyun x w ei ⁵⁵ [end]	[start] ZhongyuanYinyun x w ei ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ w ə n ⁵¹ [end]	[start] ZhongyuanYinyun kʰ w ə n ⁵¹ [end]
[start] ZhongyuanYinyun kʰ ɥ e n ⁵¹ [end]	[start] ZhongyuanYinyun k ɥ e n ⁵¹ [end]
[start] ZhongyuanYinyun tʰ u ³⁵ [end]	[start] ZhongyuanYinyun tʰ u ³⁵ [end]
[start] ZhongyuanYinyun tʃ ai ⁵¹ [end]	[start] ZhongyuanYinyun ts ai ⁵¹ [end]
[start] ZhongyuanYinyun t i ⁵¹ [end]	[start] ZhongyuanYinyun t i ⁵¹ [end]
[start] ZhongyuanYinyun ts w o ⁵¹ [end]	[start] ZhongyuanYinyun ts w o ⁵¹ [end]
[start] ZhongyuanYinyun m ai ⁵⁵ [end]	[start] ZhongyuanYinyun m ai ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ j e n ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ j e n ⁵⁵ [end]
[start] ZhongyuanYinyun m w o ⁵¹ [end]	[start] ZhongyuanYinyun m u ⁵¹ [end]
[start] ZhongyuanYinyun o ⁵¹ [end]	[start] ZhongyuanYinyun w ai ⁵¹ [end]
[start] ZhongyuanYinyun t w o ⁵⁵ [end]	[start] ZhongyuanYinyun t w o ⁵⁵ [end]
[start] ZhongyuanYinyun j e ⁵¹ [end]	[start] ZhongyuanYinyun j e ⁵¹ [end]
[start] ZhongyuanYinyun t ai ⁵¹ [end]	[start] ZhongyuanYinyun t a ⁵¹ [end]
[start] ZhongyuanYinyun tʰ j e n ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ j e n ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ ai ⁵¹ [end]	[start] ZhongyuanYinyun tʰ ai ⁵¹ [end]
[start] ZhongyuanYinyun f u ⁵⁵ [end]	[start] ZhongyuanYinyun f u ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ i ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ ɿ ³⁵ [end]
[start] ZhongyuanYinyun n j u ³⁵ [end]	[start] ZhongyuanYinyun n j u ³⁵ [end]
[start] ZhongyuanYinyun n ai ³⁵ [end]	[start] ZhongyuanYinyun n ai ³⁵ [end]
[start] ZhongyuanYinyun x au ³⁵ [end]	[start] ZhongyuanYinyun x au ³⁵ [end]
[start] ZhongyuanYinyun m ei ⁵¹ [end]	[start] ZhongyuanYinyun m ei ⁵¹ [end]
[start] ZhongyuanYinyun tsʰ i ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ i ⁵⁵ [end]
[start] ZhongyuanYinyun ts j e ³⁵ [end]	[start] ZhongyuanYinyun ts j e ³⁵ [end]
[start] ZhongyuanYinyun k u ⁵⁵ [end]	[start] ZhongyuanYinyun k u ⁵⁵ [end]
[start] ZhongyuanYinyun j a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun n j a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun tsʰ j u ³⁵ [end]	[start] ZhongyuanYinyun tsʰ j u ⁵¹ [end]
[start] ZhongyuanYinyun pʰ w o ⁵⁵ [end]	[start] ZhongyuanYinyun pʰ w o ⁵⁵ [end]
[start] ZhongyuanYinyun s j ai ⁵¹ [end]	[start] ZhongyuanYinyun s i ⁵¹ [end]
[start] ZhongyuanYinyun s au ³⁵ [end]	[start] ZhongyuanYinyun s au ³⁵ [end]
[start] ZhongyuanYinyun ts ɿ ³⁵ [end]	[start] ZhongyuanYinyun ts ɿ ³⁵ [end]
[start] ZhongyuanYinyun j u ŋ ⁵¹ [end]	[start] ZhongyuanYinyun j ə n ⁵¹ [end]
[start] ZhongyuanYinyun x ai ⁵⁵ [end]	[start] ZhongyuanYinyun x ai ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ ai ²¹⁴ [end]	[start] ZhongyuanYinyun kʰ ai ²¹⁴ [end]
[start] ZhongyuanYinyun x ai ⁵¹ [end]	[start] ZhongyuanYinyun x ai ⁵¹ [end]
[start] ZhongyuanYinyun j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun j u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun f u ⁵¹ [end]	[start] ZhongyuanYinyun f u ⁵¹ [end]
[start] ZhongyuanYinyun ʃ j e ʔ ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ j e ⁵¹ [end]
[start] ZhongyuanYinyun s j au ³⁵ [end]	[start] ZhongyuanYinyun s j au ³⁵ [end]
[start] ZhongyuanYinyun ʃ j au ³⁵ [end]	[start] ZhongyuanYinyun ʃ j au ³⁵ [end]
[start] ZhongyuanYinyun ts j e m ⁵⁵ [end]	[start] ZhongyuanYinyun ts j e m ⁵⁵ [end]
[start] ZhongyuanYinyun tʃʰ i ²¹⁴ [end]	[start] ZhongyuanYinyun tʃʰ i ²¹⁴ [end]
[start] ZhongyuanYinyun u ²¹⁴ [end]	[start] ZhongyuanYinyun u ²¹⁴ [end]
[start] ZhongyuanYinyun ʃ ɿ ³⁵ [end]	[start] ZhongyuanYinyun ʃ ɿ ³⁵ [end]
[start] ZhongyuanYinyun ʃ a n ⁵⁵ [end]	[start] ZhongyuanYinyun ʃ a n ⁵⁵ [end]
[start] ZhongyuanYinyun ts w o ³⁵ [end]	[start] ZhongyuanYinyun ts w o ⁵¹ [end]
[start] ZhongyuanYinyun k j ə n ⁵⁵ [end]	[start] ZhongyuanYinyun k j ə n ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ ɿ ⁵¹ [end]	[start] ZhongyuanYinyun ʃ ɿ ⁵¹ [end]
[start] ZhongyuanYinyun p u ⁵¹ [end]	[start] ZhongyuanYinyun p u ⁵¹ [end]
[start] ZhongyuanYinyun tʃ j ou ³⁵ [end]	[start] ZhongyuanYinyun tʃ j ou ³⁵ [end]
[start] ZhongyuanYinyun s i ²¹⁴ [end]	[start] ZhongyuanYinyun s i ²¹⁴ [end]
[start] ZhongyuanYinyun m au ⁵¹ [end]	[start] ZhongyuanYinyun m au ⁵¹ [end]
[start] ZhongyuanYinyun k a n ⁵⁵ [end]	[start] ZhongyuanYinyun k a n ⁵⁵ [end]
[start] ZhongyuanYinyun pʰ j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun pʰ j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun n j e n ⁵⁵ [end]	[start] ZhongyuanYinyun n j e n ⁵⁵ [end]
[start] ZhongyuanYinyun tʃʰ w a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ w a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun k u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun k u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun t i ⁵¹ [end]	[start] ZhongyuanYinyun t i ⁵¹ [end]
[start] ZhongyuanYinyun j ə ŋ ³⁵ [end]	[start] ZhongyuanYinyun j ə ŋ ³⁵ [end]
[start] ZhongyuanYinyun t ei ²¹⁴ [end]	[start] ZhongyuanYinyun t ei ²¹⁴ [end]
[start] ZhongyuanYinyun s j ə m ⁵⁵ [end]	[start] ZhongyuanYinyun s j ə m ⁵⁵ [end]
[start] ZhongyuanYinyun w a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun v a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun m a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun m a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ w ai ⁵¹ [end]	[start] ZhongyuanYinyun kʰ w ai ⁵¹ [end]
[start] ZhongyuanYinyun pʰ a ⁵¹ [end]	[start] ZhongyuanYinyun pʰ a ⁵¹ [end]
[start] ZhongyuanYinyun s j a ŋ ³⁵ [end]	[start] ZhongyuanYinyun s j a ŋ ³⁵ [end]
[start] ZhongyuanYinyun m a n ⁵¹ [end]	[start] ZhongyuanYinyun m a n ⁵¹ [end]
[start] ZhongyuanYinyun tʃʰ j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun w o ³⁵ [end]	[start] ZhongyuanYinyun w o ³⁵ [end]
[start] ZhongyuanYinyun t ai ⁵¹ [end]	[start] ZhongyuanYinyun t ai ⁵¹ [end]
[start] ZhongyuanYinyun f a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun f a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ j e n ⁵¹ [end]	[start] ZhongyuanYinyun ʃ j e n ⁵¹ [end]
[start] ZhongyuanYinyun ʃ j ou ³⁵ [end]	[start] ZhongyuanYinyun ʃ j ou ³⁵ [end]
[start] ZhongyuanYinyun t a ŋ ³⁵ [end]	[start] ZhongyuanYinyun t a ³⁵ [end]
[start] ZhongyuanYinyun kʰ ou ⁵¹ [end]	[start] ZhongyuanYinyun kʰ ou ⁵¹ [end]
[start] ZhongyuanYinyun tʃ w a ⁵⁵ [end]	[start] ZhongyuanYinyun tʃ w a ⁵⁵ [end]
[start] ZhongyuanYinyun ts ai ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ j e ²¹⁴ [end]
[start] ZhongyuanYinyun p au ⁵¹ [end]	[start] ZhongyuanYinyun p au ⁵¹ [end]
[start] ZhongyuanYinyun pʰ ai ²¹⁴ [end]	[start] ZhongyuanYinyun pʰ ai ²¹⁴ [end]
[start] ZhongyuanYinyun tʰ w o ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ w o ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ ɥ e n ⁵⁵ [end]	[start] ZhongyuanYinyun kʰ ɥ e n ⁵⁵ [end]
[start] ZhongyuanYinyun tʃ ɿ ³⁵ [end]	[start] ZhongyuanYinyun tʃ i ³⁵ [end]
[start] ZhongyuanYinyun tʰ j au ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ j au ⁵⁵ [end]
[start] ZhongyuanYinyun tʃ j au ²¹⁴ [end]	[start] ZhongyuanYinyun tʃ au ²¹⁴ [end]
[start] ZhongyuanYinyun t j au ⁵¹ [end]	[start] ZhongyuanYinyun t j au ⁵¹ [end]
[start] ZhongyuanYinyun ts j e ²¹⁴ [end]	[start] ZhongyuanYinyun ts j e ²¹⁴ [end]
[start] ZhongyuanYinyun tʰ w ei ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ w ei ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ i ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ i ⁵⁵ [end]
[start] ZhongyuanYinyun tʃʰ a ²¹⁴ [end]	[start] ZhongyuanYinyun tʃʰ a ²¹⁴ [end]
[start] ZhongyuanYinyun p w a n ⁵⁵ [end]	[start] ZhongyuanYinyun p o n ⁵⁵ [end]
[start] ZhongyuanYinyun m w o ²¹⁴ [end]	[start] ZhongyuanYinyun m u ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ j ou ⁵⁵ [end]	[start] ZhongyuanYinyun ʃ j ou ⁵⁵ [end]
[start] ZhongyuanYinyun k ai ³⁵ [end]	[start] ZhongyuanYinyun k ai ³⁵ [end]
[start] ZhongyuanYinyun k a m ³⁵ [end]	[start] ZhongyuanYinyun k a m ³⁵ [end]
[start] ZhongyuanYinyun kʰ au ⁵⁵ [end]	[start] ZhongyuanYinyun kʰ au ⁵⁵ [end]
[start] ZhongyuanYinyun k j ə n ⁵⁵ [end]	[start] ZhongyuanYinyun k j ə n ⁵⁵ [end]
[start] ZhongyuanYinyun f u ³⁵ [end]	[start] ZhongyuanYinyun f u ³⁵ [end]
[start] ZhongyuanYinyun s j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun s j ə n ⁵⁵ [end]
[start] ZhongyuanYinyun f a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun f a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun pʰ a ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun pʰ a ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun ts j ou ²¹⁴ [end]	[start] ZhongyuanYinyun ts u ²¹⁴ [end]
[start] ZhongyuanYinyun ʒ i ²¹⁴ [end]	[start] ZhongyuanYinyun ʒ i ²¹⁴ [end]
[start] ZhongyuanYinyun ts au ³⁵ [end]	[start] ZhongyuanYinyun ts au ³⁵ [end]
[start] ZhongyuanYinyun x a n ⁵¹ [end]	[start] ZhongyuanYinyun x a n ⁵¹ [end]
[start] ZhongyuanYinyun m j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun m j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun i ⁵¹ [end]	[start] ZhongyuanYinyun i ²¹⁴ [end]
[start] ZhongyuanYinyun s j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun s j ə ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ ɿ ⁵¹ [end]	[start] ZhongyuanYinyun ʃ ɿ ⁵¹ [end]
[start] ZhongyuanYinyun ʃ ai ⁵¹ [end]	[start] ZhongyuanYinyun ʃ ai ⁵¹ [end]
[start] ZhongyuanYinyun w a n ³⁵ [end]	[start] ZhongyuanYinyun v a n ³⁵ [end]
[start] ZhongyuanYinyun tʃʰ j ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ j ə n ⁵⁵ [end]
[start] ZhongyuanYinyun a m ⁵¹ [end]	[start] ZhongyuanYinyun a m ⁵¹ [end]
[start] ZhongyuanYinyun o ²¹⁴ [end]	[start] ZhongyuanYinyun ɥ e ²¹⁴ [end]
[start] ZhongyuanYinyun j ou ³⁵ [end]	[start] ZhongyuanYinyun j ou ³⁵ [end]
[start] ZhongyuanYinyun w a ŋ ⁵¹ [end]	[start] ZhongyuanYinyun v a ŋ ⁵¹ [end]
[start] ZhongyuanYinyun tʃ au ⁵⁵ [end]	[start] ZhongyuanYinyun tʃ j au ⁵⁵ [end]
[start] ZhongyuanYinyun m u ²¹⁴ [end]	[start] ZhongyuanYinyun m u ²¹⁴ [end]
[start] ZhongyuanYinyun p j ə ŋ ³⁵ [end]	[start] ZhongyuanYinyun p a n ³⁵ [end]
[start] ZhongyuanYinyun t w o ³⁵ [end]	[start] ZhongyuanYinyun t w o ³⁵ [end]
[start] ZhongyuanYinyun l i ³⁵ [end]	[start] ZhongyuanYinyun l i ³⁵ [end]
[start] ZhongyuanYinyun tsʰ ai ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ ai ⁵⁵ [end]
[start] ZhongyuanYinyun tsʰ j ə n ⁵⁵ [end]	[start] ZhongyuanYinyun tsʰ w ə n ⁵⁵ [end]
[start] ZhongyuanYinyun t u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun t u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun s j u ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun s j u ŋ ⁵⁵ [end]
[start] ZhongyuanYinyun p a n ³⁵ [end]	[start] ZhongyuanYinyun p a n ³⁵ [end]
[start] ZhongyuanYinyun tʃ j ə m ³⁵ [end]	[start] ZhongyuanYinyun tʃ j ə m ³⁵ [end]
[start] ZhongyuanYinyun l j ə m ⁵⁵ [end]	[start] ZhongyuanYinyun l j ə m ⁵⁵ [end]
[start] ZhongyuanYinyun k w o ³⁵ [end]	[start] ZhongyuanYinyun k w o ³⁵ [end]
[start] ZhongyuanYinyun tʃ ɿ ⁵⁵ [end]	[start] ZhongyuanYinyun tʃ ɿ ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ u ⁵⁵ [end]	[start] ZhongyuanYinyun kʰ u ⁵⁵ [end]
[start] ZhongyuanYinyun k a ⁵¹ [end]	[start] ZhongyuanYinyun k a ⁵¹ [end]
[start] ZhongyuanYinyun tʃ j u ⁵¹ [end]	[start] ZhongyuanYinyun tʃʰ j u ⁵¹ [end]
[start] ZhongyuanYinyun tʃʰ ai ⁵⁵ [end]	[start] ZhongyuanYinyun tʃʰ ai ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ ɿ ⁵¹ [end]	[start] ZhongyuanYinyun ʃ ɿ ⁵¹ [end]
[start] ZhongyuanYinyun k ə ŋ ⁵⁵ [end]	[start] ZhongyuanYinyun k ə n ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ au ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ au ⁵⁵ [end]
[start] ZhongyuanYinyun tʃ w o ²¹⁴ [end]	[start] ZhongyuanYinyun tʃ au ²¹⁴ [end]
[start] ZhongyuanYinyun tʰ u ŋ ³⁵ [end]	[start] ZhongyuanYinyun tʰ u ŋ ³⁵ [end]
[start] ZhongyuanYinyun ʃ au ⁵⁵ [end]	[start] ZhongyuanYinyun ʃ au ⁵⁵ [end]
[start] ZhongyuanYinyun l i ⁵⁵ [end]	[start] ZhongyuanYinyun l i ⁵⁵ [end]
[start] ZhongyuanYinyun tʰ i ⁵⁵ [end]	[start] ZhongyuanYinyun tʰ i ⁵⁵ [end]
[start] ZhongyuanYinyun ʃ j u ⁵⁵ [end]	[start] ZhongyuanYinyun ʃ u ⁵⁵ [end]
[start] ZhongyuanYinyun i ³⁵ [end]	[start] ZhongyuanYinyun i ³⁵ [end]
[start] ZhongyuanYinyun ʃ j u ⁵¹ [end]	[start] ZhongyuanYinyun ʃ j u ⁵¹ [end]
[start] ZhongyuanYinyun kʰ j e m ⁵¹ [end]	[start] ZhongyuanYinyun kʰ j e m ⁵¹ [end]
[start] ZhongyuanYinyun k w o ⁵⁵ [end]	[start] ZhongyuanYinyun k o ⁵⁵ [end]
[start] ZhongyuanYinyun s ɿ ³⁵ [end]	[start] ZhongyuanYinyun s ɿ ³⁵ [end]
[start] ZhongyuanYinyun ʃ a ²¹⁴ [end]	[start] ZhongyuanYinyun ʃ a ²¹⁴ [end]
[start] ZhongyuanYinyun m w o ³⁵ [end]	[start] ZhongyuanYinyun m u ³⁵ [end]
[start] ZhongyuanYinyun t u ²¹⁴ [end]	[start] ZhongyuanYinyun t u ²¹⁴ [end]
[start] ZhongyuanYinyun m au ⁵⁵ [end]	[start] ZhongyuanYinyun m au ⁵⁵ [end]
[start] ZhongyuanYinyun kʰ i ⁵¹ [end]	[start] ZhongyuanYinyun kʰ i ⁵¹ [end]
[start] ZhongyuanYinyun ʃ w ei ³⁵ [end]	[start] ZhongyuanYinyun ʃ w ei ³⁵ [end]
[start] cojubim t a t [end]	[start] cojubim i t e [end]
